,name,occupation_x,rhodes_scholar,schools,degrees,full_name,DOB,occupation_y,spouses,offspring
62,Kenneth Hands,,1910.0,,,,,,,
63,Ralph Hartley,,1910.0,"University of Utah,Oxford University",,,1888-11-30 00:00:00,,,
64,Jan Hendrik Hofmeyr,1894%E2%80%931948,1910.0,"South African College Schools,University of Cape Town,Balliol College, Oxford",,,1894-03-20 00:00:00,,,
65,Earnest Hooton,,1910.0,University of Wisconsin–Madison,,,1887-11-20 00:00:00,,,
66,Edwin Hubble,,1910.0,"University of Chicago,BS,PhD,The Queen's College, Oxford,MA",,Edwin Powell Hubble,1889-11-20 00:00:00,,Grace Burke Sr.,
67,Roger Sherman Loomis,,1910.0,"Williams College,Harvard University,New College, Oxford",,,1887-10-31 00:00:00,,"Gertrude Schoepperle,Laura Hibbard Loomis",
68,Christopher Morley,,1910.0,,,,,,,
69,John Crowe Ransom,,1910.0,,,,,,,
70,John Erskine Read,,1910.0,,,,1888-07-05 00:00:00,,,
71,Whitney Shepardson,,1910.0,,,,,,,
72,Kenneth Sisam,,1910.0,,,,,,,
73,Joseph Clearihue,,1911.0,,,,,,,
74,Karl G. Karsten,,1911.0,,,,,,,
75,Jakob Larsen,,1911.0,,,,,,,
76,Walter C. Lowdermilk,,1911.0,,,,,,,
77,Cecil Madigan,,1911.0,,,,,,,
78,John B. McNair,,1911.0,,,,,,,
79,Fridolin von Senger und Etterlin,,1911.0,,,,1891-09-04 00:00:00,,,
80,Hugh Ward,bacteriologist,1911.0,,,,,,,
81,Edmund Herring,,1912.0,,,,1892-09-02 00:00:00,,Mary Herring,
82,Edmund Britten Jones,,1912.0,,,,,,,
83,Brand Blanshard,,1913.0,"University of Michigan,Merton College, Oxford",,,1892-08-27 00:00:00,,,
84,Henry Brose,,1913.0,,,,,,,
85,Oliver Carmichael,,1913.0,,,,,,,
86,Clive Carruthers,,1913.0,,,,,,,
87,Frank Kerr,footballer,1913.0,,,,,,,
88,John W. Kyle,,1913.0,,,,,,,
89,George Bernard Noble,,1913.0,,,,,,,
90,Vyvyan Pearse,,1913.0,,,,,,,
91,Georg Rosen,1895%E2%80%931961,1913.0,,,,,,,
92,Norman Taber,,1913.0,,,,,,,
93,Harvie Branscomb,,1914.0,,,,,,,
94,Charles R. Clason,,1914.0,,,,,,,
95,Jackie de Villiers,,1914.0,University of Oxford,,Jean Etienne de Villiers,1894-06-28 00:00:00,,,
96,Cyrus Stokes Gentry,,1914.0,,,,,,,
97,Paul Homan,,1914.0,,,,,,,
98,Norman Manley,,1914.0,"Jesus College, Oxford,Jesus College, Oxford","BCL,BCL",Norman Washington Manley,1893-07-04 00:00:00,,Edna Manley,"Douglas Manley,Michael Manley"
99,Wilder Penfield,,1914.0,"Princeton University,Merton College, Oxford,Johns Hopkins School of Medicine",,Wilder Graves Penfield,1891-01-26 00:00:00,,,
100,Edgar Rochette,,1914.0,,,,1890-04-28 00:00:00,,,
101,Walter Crawford,,1915.0,,,,,,,
102,E. V. Gordon,,1915.0,,,,,,,
103,Wilfrid Kent Hughes,,1915.0,University of Oxford,,,1895-06-12 00:00:00,,Edith Kerr,3
104,Henry Grattan Nolan,,1915.0,,,,1893-05-05 00:00:00,,,
105,F.E. Williams,,1915.0,,,,,,,
106,Miner Searle Bates,,1916.0,,,,,,,
107,Edward Berry,soldier,1916.0,,,,,,,
108,Robert P. T. Coffin,,1916.0,,,,,,,
109,Malcolm Mercer Hollett,,1916.0,,,,,,,
110,Howard Rayner,,1916.0,,,,,,,
111,Hugh Cairns,surgeon,1917.0,,,,,,,
112,Thane Campbell,,1917.0,"Saint Dunstan's University,Dalhousie University,Corpus Christi College, Oxford",,,1895-07-07 00:00:00,Lawyer and judge,Cecilia Bradshaw,Alex Campbell (politician)
113,Sherwood Lett,,1917.0,,,,1895-08-01 00:00:00,,Evelyn Lett,
114,John O. Moseley,,1917.0,,,,,,,
115,Kenneth Bailey,lawyer,1918.0,,,,,,,
116,Guy Blaikie,,1918.0,,,,,,,
117,Clifford Durr,,1918.0,"University of Alabama,Oxford University","B.C.L.,B.A.",Clifford Judkins Durr,1899-03-02 00:00:00,Lawyer,Virginia Durr,5
118,Terence MacDermot,,1918.0,,,,,,,
119,Stanley Pargellis,,1918.0,,,,,,,
120,Fred Paterson,,1918.0,,,,,,,
121,Norman McLeod Rogers,,1918.0,,,,1894-07-25 00:00:00,,Mary Francis Parker Kierstead,2
122,John Monk Saunders,,1918.0,,,,,,,
123,Jacobus Duminy,,1919.0,,,,1897-12-16 00:00:00,,,
124,Roland Michener,,1919.0,,,,,,,
125,Francis Pickens Miller,,1919.0,"Washington and Lee University,Oxford University",,,1895-06-05 00:00:00,,index.php?title=Helen Hill Miller&action=edit&redlink=1,Andrew P. Miller
126,Robert Clarkson Tredgold,,1919.0,,,,,,,
127,Arthur Wesley Wheen,,1919.0,,,,,,,
128,Bill Airey,,1920.0,,,,,,,
129,Robert Barbour,cricketer,1920.0,,,,,,,
130,George Estabrooks,,1920.0,,,,,,,
131,Keith Hancock,historian,1920.0,,,,,,,
132,John Marshall Harlan II,,1920.0,,,,,,,
133,John Nicolson,South African cricketer,1920.0,,,,,,,
134,F. R. Scott,,1920.0,,,,,,,
135,Vernon Treatt,,1920.0,,,,,,,
136,Arthur Vidrine,,1920.0,,,,1896-12-20 00:00:00,Physician,,
137,Joseph A. Brandt,,1921.0,,,,,,,
138,Howard Florey,,1921.0,,,,,,,
139,John Farquhar Fulton,,1921.0,,,,,,,
140,J. King Gordon,,1921.0,"University of Manitoba,The Queen's College, Oxford,Union Theological Seminary",,John King Gordon,1900-12-06 00:00:00,,Ruth Anderson,"Charles Gordon (journalist),Alison Gordon"
141,Loyd Haberly,,1921.0,,,,,,,
142,Albert C. Jacobs,,1921.0,,,,,,,
143,Alan Watt,diplomat,1921.0,,,,,,,
144,George Aitken,rugby union,1922.0,,,,,,,
145,Bertrand Harris Bronson,,1922.0,,,,,,,
146,John Lowe,Dean of Christ Church,1922.0,,,,,,,
147,Lindsay Tasman Ride,,1922.0,"Scotch College, Melbourne,New College, Oxford",,Lindsay Tasman Ride,1898-10-10 00:00:00,,,"William David Lindsay Ride 
"
148,William Stevenson,athlete,1922.0,,,,,,,
149,Alan Valentine,,1922.0,,,,,,,
150,Francis Fergusson,,1923.0,,,,,,,
151,"Robert Hall, Baron Roberthall",,1923.0,,,,,,,
152,Arnold Heeney,,1923.0,,,,,,,
153,Leonard Huxley,physicist,1923.0,"University of Tasmania,University of Oxford",,,1902-05-29 00:00:00,,Ella Mary Child 'Molly' Copeland,
154,David Johnson,Canadian runner,1923.0,,,,,,,
155,F. O. Matthiessen,,1923.0,,,Francis Otto Matthiessen,1902-02-19 00:00:00,"Historian, literary critic, educator",,
156,A. Hyatt Mayor,,1923.0,,,,,,,
157,Edgar McInnis,,1923.0,,,,1899-07-26 00:00:00,"historian, poet, academic",,
158,Noel Newton Nethersole,,1923.0,,,,,,,
159,"Arthur Porritt, Baron Porritt",,1923.0,,,,,,,
160,Norman Robertson,,1923.0,,,,,,,
161,Charles S. Abbot,,1924.0,,,,1945-01-19 00:00:00,,,
162,Robert Brode,,1924.0,"Whitman College,California Institute of Technology","BS,PhD,MS",,1900-06-12 00:00:00,,,
163,William Walton Butterworth,,1924.0,,,,1903-09-07 00:00:00,,,
164,Hervey M. Cleckley,,1924.0,,,,,,,
165,James Corry,academic,1924.0,,,,,,,
166,J. N. Findlay,,1924.0,,,,,,,
167,Otis Hamilton Lee,,1924.0,,,,,,,
168,Reginald Sholl,,1924.0,,,,,,,
169,Donald Alfred Stauffer,,1924.0,"Princeton University,Merton College, Oxford","Merton College, Oxford",,1902-07-04 00:00:00,Literary critic,,
170,P. R. Stephensen,,1924.0,,,Percy Reginald Stephensen,1901-11-20 00:00:00,"Writer, publisher, political activist",Winifred Sarah Venus,1
171,Arthur D. Bond,,1925.0,,,,,,,
172,Jack Dunning,,1925.0,,,,,,,
173,John Carew Eccles,,1925.0,,,,,,,
174,J. William Fulbright,,1925.0,"University of Arkansas,Pembroke College,Oxford,George Washington University",Oxford,James William Fulbright,1905-04-09 00:00:00,,Harriet Mayor Fulbright,
175,Mason Hammond,,1925.0,,,,,,,
176,E. Wilson Lyon,,1925.0,"University of Mississippi,St John's College, Oxford",,Elijah Wilson Lyon,1905-01-06 00:00:00,,Carolyn Lyon,"Elizabeth, John"
177,John W. Olmsted,,1925.0,,,,,,,
178,Douglas V. Steere,,1925.0,,,,,,,
179,Robert J. Van de Graaff,,1925.0,"University of Alabama,La Sorbonne,University of Oxford",,Robert Jemison Van de Graaff,1901-12-20 00:00:00,,,
180,William S. Vaughn,,1925.0,,,,,,,
181,Roland Wilson,economist,1925.0,,,,,,,
182,Erwin Canham,,1926.0,"Bates College,Oriel College, Oxford","MA,BA",Erwin Dain Canham,1904-02-13 00:00:00,,Thelma Whitman (1924–1967),2
183,Gordon Keith Chalmers,,1926.0,,,,,,,
184,Eugene Forsey,,1926.0,McGill University,,Eugene Alfred Forsey,1904-05-29 00:00:00,,Harriet Roberts,
185,John Hood,diplomat,1926.0,,,,,,,
186,John Hood,university administrator,1976.0,,,,,,,
187,Colin Melville,,1926.0,,,,,,,
188,Nathan Parker,American football,1926.0,,,,,,,
189,George Whitecross Paton,,1926.0,,,,,,,
190,George Pfann,,1926.0,,,,,,,
191,Karl E. Young,,1926.0,,,,,,,
192,Noel Bayliss,,1927.0,,,,,,,
193,Hugh Beadle,,1927.0,,,,,,,
194,Andrew V. Corry,,1927.0,,,,,,,
195,Wilfrid Kalaugher,,1927.0,,,,1904-11-26 00:00:00,"Olympic athlete,Rhodes Scholar",,
196,Myres S. McDougal,,1927.0,,,,,,,
197,Escott Reid,,1927.0,,,,,,,
198,William Everett Derryberry,,1928.0,,,,,,,
199,Bergen Evans,,1928.0,,,,,,,
200,Clyde Kluckhohn,,1928.0,"University of Wisconsin, Madison,Harvard University","MA,BA,PhD",,1905-01-11 00:00:00,,,
201,Harlan D. Logan,,1928.0,,,,,,,
202,Holbrook Mann MacNeille,,1928.0,,,,,,,
203,Ronald Martland,,1928.0,"University of Alberta,Hertford College,University of Oxford",University of Oxford,,1907-02-10 00:00:00,,Iris Euphemia Bury (m. 30 March 1935),3
204,John Platts-Mills,,1928.0,,,,,,,
205,Allen Walker Read,,1928.0,,,,1906-06-02 00:00:00,"Etymologist, lexicographer",,
206,James Sinclair,politician,1928.0,"University of British Columbia,St John's College, Oxford,Princeton University",,,1908-05-26 00:00:00,"Politician, businessman",Doris Kathleen Bernard,Margaret Trudeau
207,Pieter van der Bijl,,1928.0,,,,,,,
208,Robert Penn Warren,,1928.0,"Vanderbilt University,University of California, Berkeley,University of Oxford,Yale University",,,1905-04-24 00:00:00,"Writer, critic",,
209,Dixon Wecter,,1928.0,,,,,,,
210,Armistead L. Boothe,,1929.0,,,,,,,
211,Cleanth Brooks,,1929.0,,,,,,,
212,John K. Fairbank,,1929.0,,,,,,,
213,Frederick L. Hovde,,1929.0,,,,,,,
214,Malcolm A. MacIntyre,,1929.0,,,,,,,
215,George Stanley,,1929.0,,,,,,,
216,George Thomas Washington,,1929.0,"Yale University,Oxford University,Yale Law School","LittB,LLB,PhB",George Thomas Washington,1908-06-24 00:00:00,,,
217,Kenneth Wheare,,1929.0,,,,,,,
218,Franklin Folsom,,1930.0,,,,,,,
219,Brian Hone,,1930.0,,,,,,,
220,Emory Lindquist,,1930.0,,,,,,,
221,Charles Herbert Little,,1930.0,,,,,,,
222,E. F. Schumacher,,1930.0,"University of Oxford,Columbia University",,Ernst Friedrich Schumacher,1911-08-16 00:00:00,Economist,,
223,John Paul Scott,geneticist,1930.0,University of Chicago,,,1909-12-17 00:00:00,,,
224,Carl Albert,,1931.0,"University of Oklahoma,St Peter's College, Oxford","BA,BCL",Carl Bert Albert,1908-05-10 00:00:00,,Mary Sue Harmon,2
225,Charles H. Bonesteel III,,1931.0,,,,,,,
226,James Elliott Coyne,,1931.0,,,,,,,
227,Bram Fischer,,1931.0,,,Abraham Louis Fischer,1908-04-23 00:00:00,Advocate,Molly Krige,
228,James Alexander Gibson,,1931.0,"University of British Columbia,University of Oxford",,,1912-01-29 00:00:00,"government official, academic",,
229,Alfred Hayes,banker,1931.0,Yale University,BA,,1910-07-04 00:00:00,,Bebba Chalmers,2
230,Ted Jolliffe,,1931.0,,,,,,,
231,John La Nauze,,1931.0,,,,,,,
232,Jack Lovelock,,1931.0,,,,,,,
233,Brian Gilmore Maegraith,,1931.0,,,,,,,
234,Dean Rusk,,1931.0,"Davidson College,St John's College, Oxford,University of California, Berkeley","BS,LLB,BA,MA",David Dean Rusk,1909-02-09 00:00:00,,Virginia Foisie,"David Rusk,Richard Rusk"
235,Ferdinand Stone,,1931.0,,,,,,,
236,Adam von Trott zu Solz,,1931.0,"Balliol College, Oxford",,,1909-08-09 00:00:00,"Diplomat, lawyer",Clarita Tiefenbacher,Two daughters
237,Samuel Beer,,1932.0,,,,,,,
238,James Munro Bertram,,1932.0,,,,,,,
239,Geoffrey Cox,journalist,1932.0,,,,,,,
240,Charles J. Hitch,,1932.0,,,,,,,
241,Evelyn Hone,,1932.0,,,,,,,
242,Willmoore Kendall,,1932.0,,,,,,,
243,Arthur Larson,,1932.0,,,,,,,
244,David Lewis,Canadian politician,1932.0,,,,,,,
245,James McCormack,,1932.0,,,,1910-11-08 00:00:00,,,
246,Edward McCourt,,1932.0,,,,,,,
247,W. L. Morton,,1932.0,,,,,,,
248,Don K. Price,,1932.0,,,,,,,
249,Howland H. Sargeant,,1932.0,,,Howland Hill Sargeant,1911-07-13 00:00:00,,Myrna Loy,
250,James Burrowes,,1933.0,,,,,,,
251,Merrimon Cuninggim,,1933.0,,,,,,,
252,Wilson Homer Elkins,,1933.0,,,,,,,
253,Ivan A. Getting,,1933.0,,,Ivan Alexander Getting,1912-01-18 00:00:00,"Physicist, Electrical Engineer",,
254,Lincoln Gordon,,1933.0,,,,,,,
255,Charlton Hinman,,1933.0,"University of Virginia,Cornell University",,,,,,
256,Francis Leddy,,1933.0,,,,,,,
257,William McRae,,1933.0,"University of Florida,University of Oxford,Fredric G. Levin College of Law,University of Florida,University of Oxford,Fredric G. Levin College of Law","B.Litt.,B.A.,J.D.,A.B.,B.Litt.,B.A.,J.D.,A.B.",William Allan McRae Jr.,1909-09-25 00:00:00,,,
258,Thomas C. Mendenhall,historian,1933.0,,,,,,,
259,Raymond Pruitt,,1933.0,,,,,,,
260,Dudley Spurling,,1933.0,,,,,,,
261,Daniel J. Boorstin,,1934.0,"Harvard College,Balliol College, Oxford,Yale Law School",,Daniel Joseph Boorstin,1914-10-01 00:00:00,,,
262,Eugene T. Booth,,1934.0,,,,,,,
263,Mac Cooper,,1934.0,,,,,,,
264,Norman Davis,academic,1934.0,,,,,,,
265,Hedley Donovan,,1934.0,,,,,,,
266,Max Gluckman,,1934.0,"University of the Witwatersrand,University of Oxford",,,1911-01-26 00:00:00,,Mary Gluckman,
267,Chauncy Harris,,1934.0,,,,,,,
268,Wilbur Jackett,,1934.0,,,,,,,
269,George C. McGhee,,1934.0,,,,1912-03-10 00:00:00,,Cecelia DeGolyer,
270,Patrick McTaggart-Cowan,,1934.0,,,,,,,
271,Ian Milner,,1934.0,,,,,,,
272,John B. Oakes,,1934.0,,,,,,,
273,Thornton Leigh Page,,1934.0,"Yale,Oxford",,,1913-08-13 00:00:00,,,
274,Lawrence Pyke,,1934.0,,,,,,,
275,John Templeton,,1934.0,"Yale University,Balliol College, Oxford",,John Marks Templeton,1912-11-29 00:00:00,"Investor, fund manager, and philanthropist", Judith Folk,John Templeton Jr.
276,Charles A. Bane,,1935.0,,,,,,,
277,Bill Bradfield,,1935.0,,,,,,,
278,Lionel Cooper,mathematician,1935.0,"University of Cape Town,Queen's College, Oxford",,,1915-12-27 00:00:00,,,
279,John Espey,,1935.0,,,,,,,
280,Henry Fowler,educator,1935.0,,,,,,,
281,H. B. Mayo,,1935.0,,,,,,,
282,Thomas McKeown,physician,1935.0,,,,,,,
283,Arnold Smith,,1935.0,,,,,,,
284,Walter H. Stockmayer,,1935.0,,,,,,,
285,Mervyn Austin,,1936.0,,,,,,,
286,Gordon A. Craig,,1936.0,,,,,,,
287,Dan Davin,,1936.0,,,,,,,
288,Guy Otto Farmer,,1936.0,,,,,,,
289,George Ignatieff,,1936.0,"Trinity College, Toronto,Trinity College, Oxford",,Georgy Pavlovich Ignatieff,1913-12-16 00:00:00,,Alison Grant,Michael Ignatieff
290,Philip Mayer Kaiser,,1936.0,,,,,,,
291,Richard Luyt,,1936.0,,,,,,,
292,William Douglas Allen,,1937.0,,,,,,,
293,Robert S. Babcock,,1937.0,"University of Rochester,University of Oxford,Northwestern University",,,1915-07-22 00:00:00,,Alice-Anne H. Babcock,5
294,Roger Gaudry,,1937.0,,,,1913-12-15 00:00:00,,,
295,Penn Kimball,,1937.0,,,,,,,
296,John Kenneth Macalister,,1937.0,,,,,,,
297,Bernard A. Monaghan,,1937.0,,,,,,,
298,Hilgard Muller,,1937.0,University of Oxford,,,1914-05-04 00:00:00,Lawyer,,
299,George Piranian,,1937.0,"Utah State University,University of Oxford,Rice University",,,1914-05-02 00:00:00,,,
300,Walt Whitman Rostow,,1936.0,,,,,,,
301,Elvis Jacob Stahr Jr.,,1936.0,,,,,,,
302,Murat W. Williams,,1936.0,,,,,,,
303,Howard K. Smith,,1937.0,,,Howard Kingsbury Smith,1914-05-12 00:00:00,News anchor,Benedicte Traberg Smith (m. 1942),2
304,Denham Sutcliffe,,1937.0,,,,,,,
305,Michael Thwaites,,1937.0,"Rhodes Scholar,University of Melbourne,University of Oxford",,,1915-05-30 00:00:00,"Poet, naval officer, intelligence analyst",,
306,Harlan Cleveland,,1938.0,,,,1918-01-19 00:00:00,,,
307,Finlay Crisp,,1938.0,,,,,,,
308,Robert Denoon Cumming,,1938.0,,,,,,,
309,Leigh Gerdine,,1938.0,"University of North Dakota,Lincoln College, Oxford,University of Iowa",,,1917-06-22 00:00:00,"Educator, Musician",Alice Strauch Meyer,
310,Kermit Gordon,,1938.0,Swarthmore College,BA,,1916-07-03 00:00:00,,,
311,Ralph Harry,,1938.0,,,Ralph Lindsay Harry,1917-03-10 00:00:00,"Public servant, diplomat",,
312,Lawrence Hogben,,1938.0,"Auckland University,Oxford University,Imperial College London",,George Lawrence Hogben,1916-04-14 00:00:00,"Royal Navy,Meteorologist",,
313,Moses Morgan,,1938.0,,,,,,,
314,Edgar Ritchie,,1938.0,,,,,,,
315,Robert Gordon Robertson,,1938.0,,,,,,,
316,Dietrich von Bothmer,,1938.0,,,,,,,
317,Edward Weismiller,,1938.0,,,,1915-08-03 00:00:00,,,
318,Byron White,,1938.0,"University of Colorado Boulder,Yale University","LLB,BA",Byron Raymond White,1917-06-08 00:00:00,,Marion Stearns,Nancy White (field hockey)
319,Morris B. Abram,,1939.0,,,,,,,
320,Bob Baker,politician,1939.0,"University of Tasmania,Lincoln College, Oxford",,Robert Wilfred Baker,1917-04-09 00:00:00,,Alison Burton,Barbara Baker (judge)
321,Charles Collingwood,journalist,1939.0,"Deep Springs College,Cornell University,Oxford University",,,1917-06-04 00:00:00,Broadcast journalist,Louise Allbritton,
322,Jack Davis,Canadian politician,1939.0,McGill University,,,1916-07-31 00:00:00,,,
323,William Feindel,,1939.0,"Acadia University,Dalhousie University,McGill University,Merton College, Oxford",,William Howard Feindel,1918-07-12 00:00:00,,,
324,Paul G%C3%A9rin-Lajoie,,1939.0,,,,,,,
325,Edward L. Hart,,1939.0,Rhodes Scholar,,,1916-12-28 00:00:00,"English professor at Brigham Young University (BYU), poet",,
326,John Hodgetts,,1939.0,,,,,,,
327,Thomas McGrath,poet,1939.0,,,,,,,
328,Lionel W. McKenzie,,1939.0,,,,1919-01-26 00:00:00,,,
329,Dom Mintoff,,1939.0,,,,,,,
330,Fabian O%27Dea,,1939.0,,,,,,,
331,Erich Vermehren,,1939.0,,,,1919-12-23 00:00:00,,,
332,Claude Bertrand,neurosurgeon,1940.0,,,,1917-03-28 00:00:00,,,
333,James Doull,,1940.0,,,,,,,
334,James George,diplomat,1940.0,,,,,,,
335,Arthur Harcourt,,1940.0,,,,,,,
336,Allan Leal,,1940.0,"McMaster University,Oxford University",,Herbert Allan Borden Leal,1917-06-15 00:00:00,civil servant and academic,,
337,Ossie Newton-Thompson,,1940.0,,,,,,,
338,Basil Travers,,1940.0,,,,,,,
339,Gordon Blair,politician,1941.0,,,,,,,
340,Zelman Cowen,,1941.0,,,,,,,
341,Jack Rumbold,,1941.0,,,,,,,
342,Alan Stewart,educator,1941.0,,,,,,,
343,Edwin Busuttil,,1942.0,,,,,,,
344,George Cawkwell,,1946.0,"King's College, Auckland,University of Auckland,Christ Church, Oxford",,George Law Cawkwell,1919-10-25 00:00:00,Ancient historian,Pat Clarke (m. 1945-2008 her death),Simon Cawkwell
345,Francis Patrick Donovan,,1946.0,"Melbourne Law School,Magdalen College, Oxford,University of Queensland",,,1922-02-01 00:00:00,Diplomat,Maria Kozslik,Patrick and Cristiane
346,Jack Ridley,engineer,1946.0,,,,,,,
347,Hugh Stretton,,1946.0,"Mentone Grammar School,Scotch College,University of Melbourne,University of Oxford,Princeton University",,,1924-07-15 00:00:00,"historian,urban theorist",,
348,Anthony van Ryneveld,,1946.0,,,,,,,
349,Roger R. Bate,,1947.0,,,,,,,
350,Allan Blakeney,,1947.0,,,Allan Emrys Blakeney,1925-09-07 00:00:00,,Anne Gorham,4
351,Paul J. Bohannan,,1947.0,,,,,,,
352,David Candler,,1947.0,,,,,,,
353,James B. Engle,,1947.0,,,,,,,
354,Peter W. Fay,,1947.0,,,,,,,
355,Alastair Gillespie,,1947.0,,,,,,,
356,James Hester,,1947.0,,,,,,,
357,George Hilton Jones III,,1947.0,,,,,,,
358,Nicholas Katzenbach,,1947.0,,,,,,,
359,Spencer L. Kimball,,1947.0,,,,,,,
360,Lovraj Kumar,,1947.0,,,,,,,
361,Marcel Lambert,,1947.0,"University of Alberta,Hertford College, Oxford","MA,BComm,BA,BCL",Marcel Joseph Aimé Lambert,1919-08-21 00:00:00,,,
362,Robert Q. Marston,,1947.0,"B.S.,Virginia Military Institute,M.D.,Medical College of Virginia,B.S.,University of Oxford","Virginia Military Institute,Medical College of Virginia,M.D.,B.S.,University of Oxford",,1923-02-12 00:00:00,"Medical Doctor,Research Scientist,University President",Ann Carter Garnett Marston,3
363,Bernard W. Rogers,,1947.0,,,,1921-07-16 00:00:00,,,
364,Nicholas V. Riasanovsky,,1947.0,,,,,,,
365,Geoffrey Serle,,1947.0,"University of Melbourne,University of Oxford",,,1922-03-10 00:00:00,,,
366,Edgar F. Shannon Jr.,,1947.0,,,,,,,
367,William Jay Smith,,1947.0,"Washington University in St. Louis,Columbia University,Oxford University",,,1918-04-22 00:00:00,Poet,,
368,Sandy Tatum,,1947.0,,,,,,,
369,Dudley Thompson,,1947.0,"Merton College, Oxford",,Dudley Joseph Thompson,1917-01-19 00:00:00,,Genevieve Hannah Cezair,Margaret Cezair-Thompson
