schools,degrees,name,full_name,DOB,spouses,offspring,parents
University of Waikato,,Jacinda Ardern,Jacinda Kate Laurell Ardern,1980-07-26 00:00:00,,Neve Te Aroha Ardern Gayford,Ross Ardern
Princeton University,BSE,Jeff Bezos,Jeffrey Preston Jorgensen,1964-01-12 00:00:00,MacKenzie Scott,4,
Harvard University,,Bill Gates,William Henry Gates III,1955-10-28 00:00:00,Melinda French,3,
Yale University,"BA,JD",Brett Kavanaugh,Brett Michael Kavanaugh,1965-02-12 00:00:00,Ashley Estes Kavanaugh,2,
Wharton School,BS,Donald Trump,Donald John Trump,1946-06-14 00:00:00,"Ivana Trump,Marla Maples,Melania Trump","Donald Trump Jr.,Ivanka Trump,Eric Trump,Tiffany Trump,Barron Trump","Fred Trump,Mary Anne MacLeod Trump"
"Princeton University,Yale University","JD,AB",Samuel Alito,Samuel Anthony Alito Jr.,1950-04-01 00:00:00,Martha-Ann Bomgardner,2,
"Stanford University,Magdalen College, Oxford,Harvard University","LLB,BA",Stephen Breyer,Stephen Gerald Breyer,1938-08-15 00:00:00,Joanna Hare,3,
Tsinghua University,"BEng,LLD",Xi  Jinping,,1953-06-15 00:00:00,"Ke Lingling,Peng Liyuan",Xi Mingze,"Xi Zhongxun,Qi Xin"
"College of the Holy Cross,Yale University","BA,JD",Clarence Thomas,,1948-06-23 00:00:00,Ginni Thomas,1,
"Columbia University,Harvard University,University College, Oxford","DPhil,BA,JD",Neil Gorsuch,Neil McGill Gorsuch,1967-08-29 00:00:00,Louise Burleston,2,Anne Gorsuch Burford
"Princeton University,Yale University","JD,AB",Sonia Sotomayor,Sonia Maria Sotomayor,1954-06-25 00:00:00,Kevin Noonan,,
"Princeton University,Georgetown University","JD,AB",Jerome Powell,Jerome Hayden Powell,1953-02-04 00:00:00,Elissa Leonard,3,
"Rhodes College,University of Notre Dame","BA,JD",Amy Coney Barrett,Amy Vivian Coney,1972-01-28 00:00:00,Jesse M. Barrett,7,
Harvard University,"JD,AB",John Roberts,John Glover Roberts Jr.,1955-01-27 00:00:00,Jane Sullivan,2,
"Princeton University,Worcester College, Oxford,Harvard University","MPhil,JD,AB",Elena Kagan,,1960-04-28 00:00:00,,,
"Harvard University,Massachusetts Institute of Technology","AM,PhD,AB",Ben Bernanke,Ben Shalom Bernanke,1953-12-13 00:00:00,Anna Friedmann,2,
"Purdue University, West Lafayette,Indiana University, Indianapolis","BA,JD",Marilyn Quayle,Marilyn Tucker,1949-07-29 00:00:00,Dan Quayle,Ben Quayle,
,,Sophie Grégoire Trudeau,Sophie Grégoire,1975-04-24 00:00:00,Justin Trudeau,3,
"Brown University,Yale University","MA,PhD,AB",Janet Yellen,Janet Louise Yellen,1946-08-13 00:00:00,George Akerlof,1,
"Colorado College,University of Colorado, Boulder,University of Wisconsin, Madison","MA,BA,PhD",Lynne Cheney,Lynne Ann Vincent,1941-08-14 00:00:00,Dick Cheney,"Liz Cheney,Mary Cheney",
Mount Holyoke College,Harvard University,Nancy Kissinger,Nancy Sharon Maginnes,1934-04-13 00:00:00,Henry Kissinger,,
"Southern Methodist University,University of Texas at Austin","BS,MS",Laura Bush,Laura Lane Welch,1946-11-04 00:00:00,George W. Bush,"Barbara Bush (born 1981),Jenna Bush Hager",
New York University,"MA,BA,PhD",Alan Greenspan,,1926-03-06 00:00:00,Andrea Mitchell,,
"Princeton University,Harvard University","JD,AB",Michelle Obama,Michelle LaVaughn Robinson,1964-01-17 00:00:00,Barack Obama,"Malia Obama,Sasha Obama","Family of Barack Obama#Fraser C. Robinson III (1935–1991),Marian Shields Robinson"
,,Jane Wyman,Sarah Jane Mayfield,1917-01-05 00:00:00,Ronald Reagan,"Maureen Reagan,Michael Reagan",
,,Lyudmila Ocheretnaya,Lyudmila Aleksandrovna Shkrebneva,1958-01-06 00:00:00,Vladimir Putin,"Maria Vorontsova,Katerina Tikhonova",
Smith College,BA,Nancy Reagan,Anne Frances Robbins,1921-07-06 00:00:00,Ronald Reagan,"Patti Davis,Ron Reagan",Edith Luckett Davis
,,Neilia Hunter Biden,Neilia Hunter,1942-07-28 00:00:00,Joe Biden,"Beau Biden,Hunter Biden",
"Wellesley College,Yale University","BA,JD",Hillary Clinton,Hillary Diane Rodham,1947-10-26 00:00:00,Bill Clinton,Chelsea Clinton,"Hugh Rodham (born 1911),Dorothy Howell Rodham"
"University of Delaware,West Chester University,Villanova University","EdD,MA,BA,MEd",Jill Biden,Jill Tracy Jacobs,1951-06-03 00:00:00,Joe Biden,"Ashley Biden,Beau Biden,Hunter Biden",
"Harvard University,University of California, San Francisco","SB,MD",Priscilla Chan,,1985-02-24 00:00:00,Mark Zuckerberg,2,
Princeton University,BA,MacKenzie Scott,MacKenzie Scott Tuttle,1970-04-07 00:00:00,Jeff Bezos,4,
"California State University, Northridge,University of Southern,California","BA,JD",Doug Emhoff,Douglas Craig Emhoff,1964-10-13 00:00:00,"Kerstin Emhoff,Kamala Harris",Ella Emhoff,
University of Texas at Austin,BA,Ashley Estes Kavanaugh,Ashley Jean Estes,1974-11-04 00:00:00,Brett Kavanaugh,2,
Duke University,"BA,MBA",Melinda French Gates,Melinda Ann French,1964-08-15 00:00:00,Bill Gates,3,
,,Marla Maples,Marla Ann Maples,1963-10-27 00:00:00,Donald Trump,Tiffany Trump,
,,Peng Liyuan,,1962-11-20 00:00:00,Xi Jinping,Xi Mingze,
,,Andrea Mitchell,,1946-10-30 00:00:00,Alan Greenspan,,
Creighton University,"BA,JD",Ginni Thomas,Virginia Lamp,1957-02-23 00:00:00,Clarence Thomas,,
,,Margaret Trudeau,Margaret Joan Sinclair,1948-09-10 00:00:00,Pierre Trudeau,"Justin Trudeau,Alexandre Trudeau,Michel Trudeau",James Sinclair (politician)
Harvard University,,Mark Zuckerberg,Mark Elliot Zuckerberg,1984-05-14 00:00:00,Priscilla Chan,2,
"Gadjah Mada University,University of Hawaii, Manoa","MA,BA",Lolo Soetoro,,1935-01-02 00:00:00,Ann Dunham,"Barack Obama,Maya Soetoro-Ng",
,,George Akerlof,George Arthur Akerlof,1940-06-17 00:00:00,Janet Yellen,1,
"University of Hawaii, Manoa,Harvard University","MA,BA",Barack Obama Sr.,Baraka Obama,1934-06-18 00:00:00,Ann Dunham,"Malik Obama,Auma Obama,Barack Obama","Family of Barack Obama#Hussein Onyango Obama,Family of Barack Obama#Habiba Akumu Obama"
,,Melania Trump,Melanija Knavs,1970-04-26 00:00:00,Donald Trump,Family of Donald Trump#Barron Trump,"
"
,,Kerstin Emhoff,Kerstin Mackin,1967-03-18 00:00:00,Doug Emhoff,Ella Emhoff,
,,Talulah Riley,Talulah Jane Riley-Milburn,1985-09-26 00:00:00,Elon Musk,,
,,Justine Musk,,1972-09-02 00:00:00,,6,
"Collège Jean-de-Brébeuf,Université de Montréal,Harvard University","MA,LLB,DEC",Pierre Trudeau,Joseph Philippe Pierre Yves Elliott Trudeau,1919-10-18 00:00:00,Margaret Trudeau,"Justin Trudeau,Alexandre Trudeau,Michel Trudeau",Charles-%C3%89mile Trudeau
"University of Washington,University of Hawaii at Manoa","MA,BA,PhD",Ann Dunham,Stanley Ann Dunham,1942-11-29 00:00:00,"Barack Obama Sr.,Lolo Soetoro","Barack Obama,Maya Soetoro-Ng","Stanley Armour Dunham,Madelyn Dunham"
,,William Jefferson Blythe Jr.,,1918-02-27 00:00:00,Virginia Clinton Kelley,Bill Clinton,
,,Katerina Tikhonova,Yekaterina Vladimirovna Putina,1986-08-31 00:00:00,Kirill Shamalov,,
,,Mary Anne MacLeod Trump,Mary Anne MacLeod,1912-05-10 00:00:00,Fred Trump,"Maryanne Trump Barry,Fred Trump Jr.,Family of Donald Trump#Elizabeth Trump Grau,Donald Trump,Robert Trump",Malcolm MacLeod
Yale University,BA,George H. W. Bush,George Herbert Walker Bush,1924-06-12 00:00:00,Barbara Bush,"George W. Bush,Pauline Robinson Bush,Jeb Bush,Neil Bush,Marvin Bush,Dorothy Bush Koch",
,,Virginia Clinton Kelley,Virginia Dell Cassidy,1923-06-06 00:00:00,"William Jefferson Blythe Jr.,Roger Clinton Sr.,Jeff Dwire","Bill Clinton,Roger Clinton Jr.",
"Stanford University,Columbia University","DPhil,MPhil,BA,MPH",Chelsea Clinton,Chelsea Victoria Clinton,1980-02-27 00:00:00,Marc Mezvinsky,3,"Bill Clinton,Hillary Clinton"
,,Barbara Bush,Barbara Pierce,1925-06-08 00:00:00,George H. W. Bush,"George W. Bush,Pauline Robinson Bush,Jeb Bush,Neil Bush,Marvin Bush,Dorothy Bush Koch",Marvin Pierce
University of Colorado Boulder,"BA,JD",Anne Gorsuch Burford,Anne Irene McGill,1942-04-21 00:00:00,Robert F. Burford,Neil Gorsuch,
,,Roger Clinton Sr.,Roger Clinton,1908-07-23 00:00:00,Virginia Clinton Kelley,Roger Clinton Jr.,
,,Jeff Dwire,George Jefferson Dwire,1923-06-06 00:00:00,Virginia Clinton Kelley,"Bill Clinton,Roger Clinton Jr.",
"University of London,UC Berkeley","MA,BA,PhD",Donald J. Harris,Donald Jasper Harris,1938-08-23 00:00:00,Shyamala Gopalan,"Kamala Harris,Maya Harris",
,,Fred Trump,Frederick Christ Trump,1905-10-11 00:00:00,Mary Anne MacLeod Trump,"Maryanne Trump Barry,Fred Trump Jr.,Elizabeth Trump Grau,Donald Trump,Robert Trump","Frederick Trump,Elizabeth Christ Trump"
,,Maria Vorontsova,Mariya Vladimirovna Putina,1985-04-28 00:00:00,Jorrit Faassen,2,
,,Maureen Reagan,Maureen Elizabeth Reagan,1941-01-04 00:00:00,David Sills (judge),1,
"University of Delhi,University of California, Berkeley","BSc,MS,PhD",Shyamala Gopalan,,1938-12-07 00:00:00,Donald J. Harris,"Kamala Harris,Maya Harris",P. V. Gopalan
,,Patti Davis,Patricia Ann Reagan,1952-10-21 00:00:00,Paul Grilley,,
,,Eric Trump,Eric Frederick Trump,1984-01-06 00:00:00,Lara Trump,2,"Donald Trump,Ivana Trump"
"Colorado College,University of Chicago","BA,JD",Liz Cheney,Elizabeth Lynne Cheney,1966-07-28 00:00:00,Philip Perry,5,"Dick Cheney,Lynne Cheney"
,,Donald Trump Jr.,Donald John Trump Jr.,1977-12-31 00:00:00,Vanessa Haydon,5,"Donald Trump,Ivana Trump"
,,Madelyn Dunham,Madelyn Lee Payne,1922-10-26 00:00:00,Stanley Armour Dunham,Ann Dunham,
,,Robert F. Burford,,1923-02-05 00:00:00,Anne Gorsuch Burford,,
,,Frederick Trump,Friedrich Trump,1869-03-14 00:00:00,Elizabeth Christ Trump,"Fred Trump,John G. Trump",
University of Pennsylvania,BSc,Ivanka Trump,Ivana Marie Trump,1981-10-30 00:00:00,Jared Kushner,3,"Donald Trump,Ivana Trump"
,,Elizabeth Christ Trump,Elisabeth Christ,1880-10-10 00:00:00,Frederick Trump,"Fred Trump,John G. Trump",
,,Stanley Armour Dunham,,1918-03-23 00:00:00,Madelyn Dunham,,
,,Jorrit Faassen,Jorrit Joost Faassen,1980-02-24 00:00:00,Maria Vorontsova,1,
,,Kirill Shamalov,Kirill Nikolayevich Shamalov,1982-03-22 00:00:00,Katerina Tikhonova,1,Nikolai Shamalov
"Stanford University,Pembroke College, Oxford","MA,BA",Marc Mezvinsky,Marc Mezvinsky,1977-12-10 00:00:00,Chelsea Clinton,3,"Edward Mezvinsky,Marjorie Margolies"
"Colorado College,Cornell University","BA,JD",Philip Perry,Philip Jonathan Perry,1964-10-16 00:00:00,Liz Cheney,5,
,,Paul Grilley,,1958-11-11 00:00:00,Patti Davis,,
,University of Illinois,David Sills,David George Sills,1938-03-21 00:00:00,Maureen Reagan,,
North Carolina State University,BA,Lara Trump,Lara Lea Yunaska,1982-10-12 00:00:00,Eric Trump,2,
,,Vanessa Trump,Vanessa Kay Pergolizzi,1977-12-18 00:00:00,Donald Trump Jr.,5,
"Harvard University,New York University","JD,MBA,AB",Jared Kushner,Jared Corey Kushner,1981-01-10 00:00:00,Ivanka Trump,3,Charles Kushner
,,Dorothy Emma Rodham,Dorothy Emma Howell,1919-06-04 00:00:00,Hugh Rodham (born 1911),"Hillary Clinton,Hugh Edwin Rodham,Tony Rodham",
,,Jen Lewin,,1974-05-09 00:00:00,,,
,,Columba Bush,Columba Garnica Gallo,1953-08-17 00:00:00,Jeb Bush,George P. Bush,
"Harvard University,Stanford University","BA,JD",Tony West,Derek Anthony West,1965-08-12 00:00:00,Maya Harris,,
,,Bobby Koch,Robert P. Koch,1960-01-13 00:00:00,Dorothy Bush Koch,2,
,,James C. Quayle,James Cline Quayle,1921-05-25 00:00:00,Martha Corrine Pulliam,Dan Quayle,
,,Ross Ardern,David Ross Ardern,1954-02-28 00:00:00,Laurell,2,
,,Jack Reagan,John Edward Reagan,1883-07-13 00:00:00,Nelle Wilson Reagan,"Neil Reagan,Ronald Reagan",
,,Xi Zhongxun,,1913-10-15 00:00:00,Qi Xin,"Qi Qiaoqiao,Xi Jinping,Xi Yuanping",
,,Marian Shields Robinson,Marian Lois Shields,1937-07-29 00:00:00,Family of Barack Obama#Fraser C. Robinson III (1935–1991),"Craig Robinson (basketball),Michelle Obama",
,,Edith Davis,Edith Prescott Luckett,1888-07-16 00:00:00,Kenneth Seymour Robbins,Nancy Reagan,
,,James Sinclair,,1908-05-26 00:00:00,Doris Kathleen Bernard,Margaret Trudeau,
,,Charles-Émile Trudeau,Joseph Charles-Émile Trudeau,1887-07-05 00:00:00,Grace Elliott,Pierre Trudeau,
,,Maye Musk,Maye Haldeman,1948-04-19 00:00:00,Errol Musk,"Elon Musk,Kimbal Musk,Tosca Musk",
,,Marvin Pierce,,1893-06-17 00:00:00,Pauline Robinson,Barbara Bush,
"University of Iowa,University of California,University of California, Hastings","MA,BA,JD",Edward Mezvinsky,Edward Maurice Mezvinsky,1937-01-17 00:00:00,Marjorie Margolies,Marc Mezvinsky,
,,Nikolai Shamalov,,1950-01-24 00:00:00,,Kirill Shamalov,
"New York University,Hofstra University,New York University","MBA,BA,JD",Charles Kushner,Chanan Kushner,1954-05-16 00:00:00,Seryl Stadtmauer,"Jared Kushner,Joshua Kushner",
,,Barbara Bush,Barbara Pierce Bush,1981-11-25 00:00:00,Craig Coyne,1,"George W. Bush,Laura Bush"
,,Jenna Bush Hager,Jenna Welch Bush,1981-11-25 00:00:00,Henry Chase Hager,3,"George W. Bush,Laura Bush"
University of Pennsylvania,BA,Marjorie Margolies,,1942-06-21 00:00:00,Edward Mezvinsky,Marc Mezvinsky,
"New York University,University of California, Berkeley","MA,BA,PhD",Alexander Soros,,1985-10-27 00:00:00,,,"George Soros,Susan Weber Soros"
,,Sam Reich,,1984-07-22 00:00:00,Elaine Carroll,,Robert Reich
"Wesleyan University,Harvard University","MPA,BA,JD",Jonathan Soros,Jonathan Tivadar Soros,1970-09-10 00:00:00,Jennifer Allan,,George Soros
"Colorado College,University of Denver","BA,MBA",Mary Cheney,Mary Claire Cheney,1969-03-14 00:00:00,Heather Poe,2,"Dick Cheney,Lynne Cheney"
Yale University,,Ron Reagan,Ronald Prescott Reagan,1958-05-20 00:00:00,Doria Palmieri,,
"Duke University,Vanderbilt University","BA,JD",Ben Quayle,Benjamin Eugene Quayle,1976-11-05 00:00:00,Tiffany Crane,2,"Dan Quayle,Marilyn Quayle"
"University of Pennsylvania,Syracuse University","BA,JD",Beau Biden,Joseph Robinette Biden III,1969-02-03 00:00:00,Hallie Olivere,2,"Joe Biden,Neilia Hunter Biden"
,,Michael Reagan,John Charles Flaugher,1945-03-18 00:00:00,Pamela Gail Putnam,,
"Georgetown University,Yale University","BA,JD",Hunter Biden,Robert Hunter Biden,1970-02-04 00:00:00,Kathleen Buhle,5,"Joe Biden,Neilia Hunter Biden"
"Tulane University,University of Pennsylvania","MSW,BA",Ashley Biden,Ashley Blazer Biden,1981-06-08 00:00:00,Howard Krein,,"Joe Biden,Jill Biden"
"University of Pennsylvania,Georgetown University","BA,JD",Tiffany Trump,Tiffany Ariana Trump,1993-10-13 00:00:00,,,"Donald Trump,Marla Maples"
,,Ella Emhoff,Ella Rose Emhoff,1999-05-29 00:00:00,,,"Doug Emhoff,Kerstin Emhoff"
,,Alexandre Trudeau,Alexandre Emmanuel Trudeau,1973-12-25 00:00:00,Zoë Bedos,3,"Pierre Trudeau,Margaret Trudeau"
,,Pauline Robinson Bush,,1949-12-20 00:00:00,,,"George H. W. Bush,Barbara Bush"
"Barnard College, Columbia University,New York University","MA,BA,PhD",Maya Soetoro-Ng,Maya Kasandra Soetoro,1970-08-15 00:00:00,Family of Barack Obama#Maternal relations,2,"Lolo Soetoro,Ann Dunham"
,,Michel Trudeau,Michel Charles-Émile Trudeau,1975-10-02 00:00:00,,,"Pierre Trudeau,Margaret Trudeau"
Tulane University,,Neil Bush,Neil Mallon Bush,1955-01-22 00:00:00,Sharon Bush,Lauren Bush,"George H. W. Bush,Barbara Bush"
,,Dorothy Bush Koch,Dorothy Walker Bush,1959-08-18 00:00:00,Bobby Koch,4,"George H. W. Bush,Barbara Bush"
,,Marvin Bush,Marvin Pierce Bush,1956-10-22 00:00:00,Margaret Conway Molster,2,"George H. W. Bush,Barbara Bush"
"Mount Holyoke College,Columbia University,Hofstra University","MA,BA,JD",Maryanne Trump Barry,Maryanne Trump,1937-04-05 00:00:00,David Desmond,1,"Fred Trump,Mary Anne MacLeod Trump"
"University of Texas at Austin,University of Texas at Austin","BA,BA",Jeb Bush,John Ellis Bush,1953-02-11 00:00:00,Columba Bush,George P. Bush,"George H. W. Bush,Barbara Bush"
,,Fred Trump Jr.,Frederick Crist Trump Jr.,1938-10-14 00:00:00,Linda Clapp,Mary L. Trump,"Fred Trump,Mary Anne MacLeod Trump"
,,Robert Trump,Robert Stewart Trump,1948-08-26 00:00:00,Blaine Trump,,"Fred Trump,Mary Anne MacLeod Trump"
,,Roger Clinton Jr.,,1956-07-25 00:00:00,Molly D'Ann Martin,2,"Roger Clinton Sr.,Virginia Clinton Kelley"
"University of California, Berkeley,Stanford University","BA,JD",Maya Harris,Maya Lakshmi Harris,1967-01-30 00:00:00,Tony West (attorney),Meena Harris,
,,Qi Qiaoqiao,,1949-03-01 00:00:00,Deng Jiagui,Zhang Yannan,
,,,,1962-04-21 00:00:00,,,
,,Lauren Bush,Lauren Pierce Bush,1984-06-25 00:00:00,David Lauren,3,"Neil Bush,Sharon Bush"
,,Neil Reagan,John Neil Reagan,1908-09-16 00:00:00,"Ruth Elizabeth ""Bess"" Hoffman",,"Jack Reagan,Nelle Wilson Reagan"
,,Hugh Rodham,,1950-05-26 00:00:00,Maria Victoria Arias,,"Hugh Rodham (born 1911),Dorothy Howell Rodham"
,,Mary L. Trump,Mary Lea Trump,1965-05-03 00:00:00,,1,Fred Trump Jr.
"Rice University,University of Texas, Austin","BA,JD",George P. Bush,George Prescott Bush,1976-04-24 00:00:00,Amanda Williams,2,"Jeb Bush,Columba Bush"
,,Tony Rodham,,1954-08-08 00:00:00,Nicole Boxer,3,"Hugh Rodham (born 1911),Dorothy Howell Rodham"
"Stanford University,Harvard University","BA,JD",Meena Harris,Meenakshi Ashley Harris,1984-10-20 00:00:00,Nikolas Ajagu,2,"Maya Harris,Tony West (attorney)"
"Polytechnic Institution of Brooklyn,Columbia University,Massachusetts Institute of Technology","BS,DSc,MS",John G. Trump,John George Trump,1907-08-21 00:00:00,Elora Sauerbrun,John,"Frederick Trump,Elizabeth Christ Trump"
