schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
,,A. David Buckingham,,1930-01-28,4 February 2021,,,,,,,,,
,,A. Devitt Vanech,Augustus Devitt Vanech,1906-03-26,"September 10, 1967",,,,,,,,,"2nd United States Deputy Attorney General,13th United States Assistant Attorney General for the Environment and Natural Resources"
,,A. F. Maciejewski,,1893-01-03,"September 25, 1949",,,,,,,,,Member of the U.S. House of Representativesfrom Illinois's 6th district
,,A. G. Lancione,,1907-02-12,"November 5, 1989",,,,,,,,,Member of the Ohio House of Representativesfrom the 99th district
,,A. H. Greenhalgh,,,,,,,,,,,,Member of the Nevada  Assemblyfrom the Nye County district
University of Dhaka,,A. F. M. Ahsanuddin Chowdhury,,1915-07-01,30 August 2001,,,,,,,,,President of Bangladesh
,,Arthur Harry Moore,,"July 3, 1877","November 18, 1952",Jennie Hastings Stevens,,,,,,,,"39th Governor of New Jersey,United States Senatorfrom New Jersey"
,,A. F. Summer,Albioun Fernando Summer,1921-11-02,"November 19, 1981",,,,,,,,,35th Attorney General of Mississippi
,,A. Hyatt Smith,Abraham Hyatt Smith,1814-02-05,"October 16, 1892",Ann Margaret Cooper (Kelley),,,Minnie C. Smith,,,,,"1st and 5th Mayor of Janesville, Wisconsin,United States Attorney for the District of Wisconsin,5th Attorney General of the Wisconsin Territory"
West Virginia University,,A. James Manchin,Antonio James Manchin,1927-04-07,"November 3, 2003",Stella Machel Petros,,,Mark Manchin,,,,,"Member of the West Virginia House of Delegatesfrom the 43rd district,21st[2] Treasurer of West Virginia,25th West Virginia Secretary of State"
,,A. J. Mundella,,1825-03-28,21 July 1897,Mary Smith,,,,,,,,President of the Board of Trade
"Louisiana State University,Loyola University New Orleans College of Law","B.S.,J.D.",A. J. McNamara,Abel John McNamara,1936-06-09,"December 2, 2014",,,,,,,,,"Senior Judge of the United States District Court for the Eastern District of Louisiana,Chief Judge of the United States District Court for the Eastern District of Louisiana,Judge of the United States District Court for the Eastern District of Louisiana,Louisiana State Representative"
,,A. James Barnes,,1942-08-30,,,,,,,,,,6th Deputy Administrator of the United States Environmental Protection Agency
Bard College,,Albert Jay Nock,,1870-10-13,"August 19, 1945",,,,,,,Writer and social theorist,,
"Yale University,Yale Law School","B.A.,LL.B.",A. Joe Fish,Allen Joe Fish,1942-11-12,,,,,,,,,,"Senior Judge of the United States District Court for the Northern District of Texas,Chief Judge of the United States District Court for the Northern District of Texas,Judge of the United States District Court for the Northern District of Texas"
,,A. Jeff McLemore,,"March 13, 1857","March 4, 1929",May Clark,,,,,,,,"Member of the U.S. House of Representativesfrom Texas's At-Large district,Member of the Texas House of Representatives"
"Hampden-Sydney College,University of Richmond",,Joe Canada,Andrew Joseph Canada Jr.,1939-05-08,,Alexandra Campbell,,,,,,,,Member of the Virginia Senatefrom the 8th district
"Maharaja's College, Ernakulam,Government Law College, Ernakulam",,A. K. Antony,Arackaparambil Kurien Antony,1940-12-28,,Elizabeth Antony,,,Anil Antony,,,,,"23rd Defence Minister of India,6th Chief Minister of Kerala,Leader of Opposition in Kerala Legislative Assembly,Minister Of Civil Supplies, Consumer Affairs & Public Distribution ,Member of Parliament, Rajya Sabha"
"Boston University,[2]",,A. Joseph DeNucci,,1939-08-30,"September 8, 2017",,,,,,,,,"21st Auditor of Massachusetts,Member of the Massachusetts House of Representatives"
"Government Brennen College, Thalassery,Government Law College, Kozhikode","Government Law College, Kozhikode",A. K. Balan,,1948-08-03,,Dr. P. K. Jameela,Kelappan,,2,,,,,"Minister for Scheduled Castes and Scheduled Tribes Development and Devaswom Government of Kerala,Minister for Law, Cultural Affairs, Parliamentary Affairs, SC/ST Development,Member of legislative assembly"
,,A. Keith Bissell,,1941-12-03,,,,,,,,,,"Member of the Tennessee House of Representativesfrom the 33rd district,Member of the Tennessee Public Service Commission"
,,A. L. (Slim) Rasmussen,Albert Lawrence Rasmussen,1909-10-10,"January 6, 1993",,,,,,,,,"President pro tempore of the Washington Senate,Member of the Washington State Senate,Member of the Pierce County Councilfrom the 5th District,Member of the Washington House of Representativesfrom the 28th district"
University of Richmond,,A. L. Philpott,Albert Lee Philpott, 1919 -07-29,"September 28, 1991",Katherine Spencer,,,,,,,,"51st Speaker of the Virginia House of Delegates,Majority Leader of the Virginia House of Delegates,Member of the Virginia House of Delegatesfrom the 11th district,Member of the Virginia House of Delegatesfrom the 12th district,Member of the Virginia House of Delegatesfrom the 13th district,Military service"
"Wesleyan University,Harvard University",,A. Leroy Greason,,1922-09-13,"August 28, 2011",,,,,,,,,12th President of Bowdoin College
"Montana State University,University of Minnesota",,A. L. Strand,,1894-02-12,"April 27, 1980",Mollie Josephine Allen Strand,,,"James, Patsy, Roy",,,,,"5th President of Montana State University,10th President of Oregon State University"
A.B.,,Archie Lee Chandler,,"December 16, 1922","July 18, 2012",Martha Nell Wilkins,,,,,,,,"Chief Justice of South Carolina,Associate Justice of South Carolina"
"Washington and Lee University,Harvard University","BS,LLB",Linwood Holton,Abner Linwood Holton Jr.,1923-09-21,"October 28, 2021",Jinks Rogers,,,"Anne Holton,Woody Holton",,,,,"United States Assistant Secretary of State for Legislative Affairs,61st Governor of Virginia,Military service"
"Rhodes College,University of South Carolina","BA,JD",A. Marvin Quattlebaum Jr.,Arthur Marvin Quattlebaum Jr.,1964-08-02,,,,,,,,,,"Judge of the United States Court of Appeals for the Fourth Circuit,Judge of the United States District Court for the District of South Carolina"
Swarthmore College,BA,A. Mitchell Palmer,Alexander Mitchell Palmer,1872-05-04,"May 11, 1936",Roberta Dixon ,,,,,,,,"50th United States Attorney General,Member of the U.S. House of Representativesfrom Pennsylvania's 26th district"
"University of Cambridge,Ph.D.",,A. O. L. Atkin,,1925-07-31,28 December 2008,,,,,,,,,
"Sri Sumangala College,Panadura,Royal College, Colombo,University of London",Panadura,A. P. Jayasuriya,Alexander Perera Jayasuriya,1901-11-01,28 August 1980,,,,,,,Advocate,,"Minister of Health,Parliamentary Secretary to Minister of Posts and Telecommunications,Member of the Ceylon Parliamentfor Horana,Senator of Ceylon,State Council of Ceylon"
University of Madras,,A. P. Balachandran,,25 January 1938,,,,,,,,,,
"St. Joseph's College, Tiruchirappalli,Madras Institute of Technology","MEng,BEng",A. P. J. Abdul Kalam,Avul Pakir Jainulabdeen Abdul Kalam,1931-10-15,27 July 2015,,,,,,,,,"11th President of India,1st Principal Scientific Adviser to the Government of India"
"Lawrenceville School,Princeton College",Princeton College,Abram Piatt Andrew Jr.,,1873-02-12,"June 3, 1936",,,,,,,,,"Member of the U.S. House of Representativesfrom Massachusetts's 6th district,Military service"
"University of Chicago,University of California, Berkeley","BA,MA,PhD",Paul Alivisatos,Armand Paul Alivisatos,1959-11-12,,Nicole Alivisatos,,,,,,,,14th President of the University of Chicago
Harvard University,,Almon Rouse Meek,,1834,"June 30, 1888",Eliza R. Rice,,,,,,Lawyer,,8th Florida Attorney General
,,A. Pratt Kessler,,1905-04-26,"October 13, 1984",,,,,,,,,"12th Attorney General of Utah,United States Attorney for the District of Utah"
"Brigham Young University,Columbia University",,A. Ray Olpin,,"June 1, 1898","March 7, 1983",,,,"Virginia, Helen, Barbara, Howard",,,,,7th President of theUniversity of Utah
"Dhaka College,Dhaka Medical College",,AQM Badruddoza Chowdhury,একিউএম বদরুদ্দোজা চৌধুরী,1932-11-01,,,Kafiluddin Chowdhury,,Mahi B. Chowdhury,,,,,"President of Bangladesh,Minister of Foreign Affairs,Deputy Prime Minister of Bangladesh,General Secretary of Bangladesh Nationalist Party"
,,A. R. McCabe,,1896-06-01,"May 24, 1985","Esther Edeen (1930–Apr 10, 1985; her death)",,,,,,,,27th Lieutenant Governor of Idaho
"Brown University,University of Pennsylvania Law School","LLB,AB",A. Richard Caputo,,1938-05-22,"March 11, 2020",,,,,,,,,"Senior Judge of the United States District Court for the Middle District of Pennsylvania,Judge of the United States District Court for the Middle District of Pennsylvania"
"Drexel University,University of Pennsylvania","BS,JD",A. Raymond Randolph,Arthur Raymond Randolph,1943-11-01,,,,,,,,,,"Senior Judge of the United States Court of Appeals for the District of Columbia Circuit,Judge of the United States Court of Appeals for the District of Columbia Circuit"
"University of Melbourne,University of California Berkeley",,A. Richard Newton,,1951-07-01,2 January 2007,,,,,,,,,
,,A. S. M. Abdur Rab,আ. স. ম. আবদুর রব,1945 (age 76–77),,,,,,,,politician,,"Leader of the Opposition,Minister of Shipping,Ministry of Fisheries and Livestock,Jatiya Sangsad Member from Lakshmipur-4"
,,ATM Afzal,,,,,,,,,,,,8th Chief Justice of Bangladesh
,,A. U. Fuimaono,Asuemu Ulufale Fuimaono,1924-01-24,"September 9, 2008",Felefele Fuimaono,,,,,,,,Delegate at-large of American Samoa
United States Naval Academy,BS,Vernon Weaver,Arthur Vernon Weaver Jr.,1922-04-16,", ",Joyce McCoy,,,,,,,,"United States Ambassador to the European Union,12th Administrator of the Small Business Administration"
"Virginia Southern College,University of Virginia",,Vic Thomas,Alfred Victor Thomas,1929-11-09,"April 26, 2006",,,,,,,,,"Member of the Virginia House of Delegatesfrom the 17th district,Member of the Virginia House of Delegatesfrom the 6th district,Member of the Virginia House of Delegatesfrom the 7th district"
,,A. W. Tiffany,,1827-07-08,"February 17, 1903",,,,,,,,,Member of the Washington House of Representatives for the 48th district
,,A. U. Wyman,Albert U. Wyman,1833,1915 (c. aged 82),,,,,,,banker,,12th and 14th Treasurer of the United States
,,The Earl Alexander of Hillsborough,,1885-05-01,11 January 1965,Esther Chapple,,,,,,,,"Chancellor of the Duchy of Lancaster,Minister of Defence,First Lord of the Admiralty"
,,A. W. Norblad,Albin Walter Youngsberg,1881-03-19,"April 17, 1960",Edna Lyle Cates Norblad,,,,,,,,"19th Governor of Oregon,President of the Oregon State Senate,Member of the Oregon Senatefrom the 15th district,Member of the Oregon Senatefrom the 15th district"
,,Absalom Willis Robertson,,1887-05-27,"November 1, 1971",Gladys Churchill Willis,,,Pat Robertson,,,,,"United States Senatorfrom Virginia,Member of the U.S. House of Representativesfrom Virginia's 7th district,Member of the Virginia Senatefrom the 22nd district"
University of Arizona College of Law,,A. William Maupin,,,,,,,,,,,,Associate Justice of the Nevada Supreme Court (Seat B)
"Texas Tech University,Georgetown University,Freie Universität Berlin","BA,MA,PhD",A. Wess Mitchell,Aaron Wess Mitchell,"April 1, 1977",,Elizabeth,,,2,,,,,Assistant Secretary of State for European and Eurasian Affairs
,,A. Walter Norblad,Albin Walter Norblad Jr.,1908-09-12,"September 20, 1964",,,,,,,Attorney,,"Member of United States House of Representatives from Oregon's 1st district,Oregon State RepresentativeDistrict 1, Astoria"
,,Arthur Walton Litz,,,,,,,,,,,,
University of Wisconsin,,Aad J. Vinje,Aad John Vinje,1857-11-10,"March 23, 1929",Alice Miller,Ingeborg Davidsdatter (Klove) Vinje (mother),,Arthur,,,,,"12th Chief Justice of the Wisconsin Supreme Court,Justice of the Wisconsin Supreme Court,Wisconsin Circuit Court Judgefor the 11th Circuit"
"University of Amsterdam,Bachelor of Theology,Bachelor of Laws,Master of Laws","Bachelor of Laws,Master of Laws",Aad Kosto,Arie Kosto,1938-01-09,,Anneke Reuvekamp,,,2 daughters ,,,"Politician,Civil servant,Jurist,Researcher,Nonprofit director,Lobbyist,Television producer,Editor,Screenwriter,Author",,"Member of the Council of State,Minister of Justice,State Secretary for Justice,Member of the House of Representatives,Military service"
University of Copenhagen,,Aage Bohr,,1922-06-19,8 September 2009,,Niels Bohr,,,,,,,
,,Aaron Augustus Sargent,,1827-09-28,"August 14, 1887",,,,,,,,,"United States Senatorfrom California,Member of the U.S. House of Representativesfrom California's 2nd district,Member of the U.S. House of Representativesfrom California's at-large district,Member of the California Senate"
"Dakota State University,University of South Dakota","BA,MA",Aaron Aylward,,,,,,,,,,,,Member of the South Dakota House of Representativesfrom the 6th district
,,Aaron Augustus Sargent,,1827-09-28,"August 14, 1887",,,,,,,,,"United States Senatorfrom California,Member of the U.S. House of Representativesfrom California's 2nd district,Member of the U.S. House of Representativesfrom California's at-large district,Member of the California Senate"
Jacksonville University,BS,Aaron Bean,,1967-01-25,,Abby Bradley,,,3,,,,,"President pro tempore of the Florida Senate,Member of the Florida Senatefrom the 4th district,Member of the Florida House of Representativesfrom the 12th district"
MIT,,Aaron F. Bobick,,,,,,,,,,,,
Union College,,Aaron Clark,,"October 16, 1787","August 2, 1861",Catherine Maria Lamb,,,,,,,,62nd Mayor of New York City
,,Aaron E. Waite,,"December 26, 1813","December 12, 1898",,,,,,,,,"4th Chief Justice of the Oregon Supreme Court,10th Associate Justice of the Oregon Supreme Court"
,,Aaron Columbus Burr,Aaron Burr Colombe,1808-09-15,"July 27, 1882",Mary Coutant,Aaron Burr,,,,,Goldsmith,,
"Texas A&M University,Ohio State University","BA,MA,PhD,JD",Aaron Ford,Aaron Darnell Ford,1972-05-24,,Berna Rhodes,,,4,,,,,"34th Attorney General of Nevada,Majority Leader of the Nevada Senate,Minority Leader of the Nevada Senate,Member of the Nevada Senatefrom the 11th district"
University of Vermont,,Aaron Hinman Grout,,1879-01-18,"December 29, 1966",Edith Goddard Hart,,,2,,,,,"Member of the Vermont Senate from Chittenden County,Judge of the Burlington, Vermont Municipal Court,27th Vermont Secretary of State,Member of the Vermont House of Representatives from Newport City,State's Attorney of Orleans County, Vermont,Military service"
,,Aaron E. Waite,,"December 26, 1813","December 12, 1898",,,,,,,,,"4th Chief Justice of the Oregon Supreme Court,10th Associate Justice of the Oregon Supreme Court"
,,Aaron Harlan,,1802-09-08,"January 8, 1868",,,,,,,,,"Member of the U.S. House of Representativesfrom Ohio's 7th district,Member of the Ohio House of Representativesfrom the Greene County district,Member of the Ohio Senatefrom the Fayette, Madison & Greene Counties district,Member of the Ohio Senatefrom the Clinton, Greene & Warren Counties district"
"Saint Anselm College,Roger Williams University","BA,JD",Aaron Frey,,1978/1979 (age 42–43),,,,,,,,,,"58th Attorney General of Maine,Member of the Maine House of Representatives"
Brown University,,Aaron Hobart,,1787-06-26,"September 19, 1858",,,,,,,,,"Member of theU.S. House of Representatives from Massachusetts,Member of the Massachusetts Senate,Member of the Massachusetts House of Representatives"
,,Aaron Kitchell,,1744-07-10,"June 25, 1820",,,,,,,,,"United States Senatorfrom New Jersey,Member of the U.S. House of Representativesfrom New Jersey's 2nd district,Member of the U.S. House of Representativesfrom New Jersey's At-large district,Member of the U.S. House of Representativesfrom New Jersey's At-large district,Member of the New Jersey General Assembly"
,,Aaron Leland,,"May 28, 1761","August 25, 1832",,,,,,,,,"7th Lieutenant Governor of Vermont,19th Speaker of the Vermont House of Representatives,Member of the Vermont House of Representatives from Chester"
Yale University,,Aaron Ling Johanson,,1980-01-30,,,,,,,,,,"Minority Leader of the Hawaii House of Representatives,Member of the Hawaii House of Representativesfrom the 31st district,Member of the Hawaii House of Representativesfrom the 32nd district"
"University of California, Santa Cruz",BA,Aaron Peskin,Aaron Dan Peskin,1964-06-17,,Nancy Shanahan,,,,,,Politician,,"Member of theSan Francisco Board of Supervisorsfrom District 3,President of the San Francisco Board of Supervisors"
Princeton University,,Aaron Pixton,,1986-01-13,,,,,,,,,,
Northeastern University,,Aaron Michlewitz,,1978-06-07,,,,,,,,,,"Chair of the Ways and Means Committee of the Massachusetts House of Representatives,Member of the Massachusetts House of Representativesfrom the 3rd Suffolk district"
University of Leicester,,Aaron Porter,,1985-01-11,,,,,,,,,,54th President of the National Union of Students
"New Mexico Military Institute,University of Kansas,American University","AA,MA,BA",Aaron Ringel,,,,,,,,,,,,"Assistant Secretary of State for Global Public Affairs,Military service"
,,Aaron S. Williams,,Chicago,,,,,,,,,,18th Director of the Peace Corps
,,Aaron Shaw,,1811-12-19,"January 7, 1887",,,,,,,"Lawyer, judge",,"Member of the U.S. House of Representativesfrom Illinois's 16th district,Member of the U.S. House of Representativesfrom Illinois's 7th district,Member of the Illinois House of Representatives"
Lebanon Valley College,,Aaron Shenk Kreider,,1863-06-26,"May 19, 1929",,,,,,,,,Member of the U.S. House of Representativesfrom Pennsylvania's 18th district
,,Aaron Sloman,,1936 (age 85–86),,,,,,,,,,
,,Aaron T. Bliss,,"May 22, 1837","September 16, 1906 (aged 69)",Allaseba Phelps,,,,,,,,"25th Governor of Michigan,Member of the U.S. House of Representativesfrom Michigan's 8th district,Member of the Michigan Senate"
Syracuse University,,Aaron Sorkin,,1961-06-09,,,,,1,,,"Film director,screenwriter,playwright,actor",,
Stanford University,,Aaron Swartz,Aaron Hillel Swartz,1986-11-08,"January 11, 2013",,,,,,,internet activist,,
,,Aaron Vail,,"October 26, 1796","November 4, 1878",Emilie Salles,,,,,,,,"Chargé d'Affaires of the United States to Spain,10th Chief Clerk of the Department of State,Chargé d'Affaires of the United States to the United Kingdom"
,,Aaron Ward,,"July 5, 1790","March 2, 1867 (aged 76)",,,,,,,,,Member of the U.S. House of Representativesfrom New York's 4th district
"Utrecht University,Bachelor of Accountancy,Erasmus University Rotterdam,Bachelor of Laws,Master of Laws,Radboud University Nijmegen,Bachelor of Science in Law",Master of Laws,Aart Jan de Geus,Aart Jan de Geus,1955-07-28,,,,,3 children,,,"Politician,Civil servant,Jurist,Trade Union leader,Accountant,Political consultant,Management consultant,Businessman,Corporate director,Nonprofit director,Lobbyist",,"Deputy Secretary-General of the OECD,Minister of Health, Welfare and Sport,Minister of Social Affairs  and Employment,Member of the Social and  Economic Council"
"University of Warwick,University of Cambridge,Nigerian Law School,International Institute for Management Development",,Abba Kyari,,1952-09-23,17 April 2020,Hajiya Kulu Kyari,,,"
",,,,,Chief of Staff to the President
"University of Groningen,Bachelor of Laws,Master of Laws,Utrecht University,Master of Public Administration",Master of Laws,Aat van Rhijn,Arie Adriaan van Rhijn,1892-10-23,11 February 1986,,,,,,,"jurist,trade association",,"Member of the Council of State,Member of the House of Representatives,State Secretary for Social  Affairs and Health,State Secretary for Social Affairs,President of the Court of Audit,Minister of Agriculture  and Fisheries"
"Aligarh Muslim University,New Mexico State University","MS,BS",Abbas Akhil,Abbas Ali Akhil,,,,,,,,,,,Member of the New Mexico House of Representativesfrom the 20th district
Pierre-and-Marie-Curie University,,Abbas Bahri,,1955-01-01,10 January 2016,,,,,,,Rutgers University,,
"Erasmus University Rotterdam,Bachelor of Social Science,Master of Social Science,Leiden University,Doctor of Philosophy",Master of Social Science,Ab Klink,Abraham Klink,1958-11-02,,,,,,,,"Politician,Civil servant,Jurist,Sociologist,Researcher,Corporate director,Nonprofit director,Author,Professor",,"Member of the House of Representatives,Minister of Health,  Welfare and Sport,Member of the Senate"
"School of International Relations,Islamic Azad University Central Tehran Branch,University of Kent",,Abbas Araghchi,,1962 (age 59–60),,,,,,,,,,"Spokesperson for the Ministry of Foreign Affairs,Ambassador to Japan,Ambassador to FinlandAccredited Ambassador to Estonia,Military service"
"Kaduna Polytechnic,Bayero University Kano,Federal Polytechnic, Mubi",,Abba Kabir Yusuf,,1963-01-05,,,,,,,,Politician and Engineer,,"Commissioner of Works, Housing and Transport Kano State."
London School of Economics,,Abba P. Lerner,,1903-10-28,27 October 1982,,,,,,,,,
"University of Nevada,Southwestern Law School","BA,JD",Abbi Silver,,1964-12-03,,,,,,,,,,"Associate Justice of the Nevada Supreme CourtSeat F,Chief Judge of the Nevada Court of Appeals,Judge of the Nevada Court of Appeals,Judge of the Eighth Judicial District Court of Nevada,Judge of the Las Vegas Justice Court,Judge of the Las Vegas Municipal Court"
Tulane University,,Abbie Kamin,,,,,,,,,,Civil rights attorney,,Member of Houston City Council for District C
,,Abd al-Karim Qasim,,1914-11-21,9 February 1963,,,,,,,,,"Prime Minister of Iraq,Military service"
,,Abd ar-Razzaq al-Naif,,1934,10 July 1978,,,,,,,Military officer,,Prime Minister of Iraq
"University of Baghdad,King's College London",,Abd al-Rahman al-Bazzaz,,1913-02-20,28 June 1973,,,,,,,Dean of Baghdad Law College,,"Acting President of Iraq,Prime Minister of Iraq,Foreign Minister of Iraq"
,,Abdel Rahman Shalgham,,1949-11-22,,,,,,,,,,Minister of Foreign Affairs of Libya
"University of Baghdad,King's College London",,Abd al-Rahman al-Bazzaz,,1913-02-20,28 June 1973,,,,,,,Dean of Baghdad Law College,,"Acting President of Iraq,Prime Minister of Iraq,Foreign Minister of Iraq"
,,Abdelkader Bensalah,,1941-11-24,22 September 2021,,,,,,,,,"Head of State of Algeria,President of the Council of the Nation,President of the People's National Assembly"
,,Abdelmadjid Tebboune,,1945-11-17,,,,,,,,,,"8th President of Algeria,Minister of Defence,16th Prime Minister of Algeria,Minister of Commerce(Interim),Minister of Housing and Urban Development and the City,Minister of Housing and Urban Development,Minister Delegate for Local Communities,Minister of Communication and Culture,Minister Delegate for Local Communities,Wali of Tizi Ouzou(president of the High State Committee),Wali of Tiaret,Wali of Adrar"
,,Abdelmalek Benhabyles,,1921-04-27,28 December 2018,,,,,,,,,President of AlgeriaActing
,,Abdessalam Jalloud ,,1944-12-15,,,,,,,,,,Prime Minister of Libya
,,Abdelmalek Sellal,,1948-08-01,,Farida Sellal,,,3,,,,,Prime Minister of Algeria
,,Abdollah Javadi Amoli,,1933-05-05,,,,,,,,,,Member of the Assembly of Experts for Constitution
"Ferdowsi University of Mashhad,Tarbiat Modares University",,Abdolreza Rahmani Fazli,,1959 (age 62–63),,,,,,,,,,"Minister of Interior,President of the Supreme Audit Court,Member of the Parliament of Iran"
,,Abdul Majid al-Khoei,عبد المجيد الخوئي,1962-08-16,"April 10, 2003",,,,,,,,,
,,Abdul Ati al-Obeidi ,,1939-10-10,,,,,,,,,,"Prime Minister of Libya,Secretary-General of the General People's Congress,Foreign Minister of Libya"
,,Abdul-Wahid Shannan ar-Ribat,عبد الواحد شنان آل رباط,12 April 1944,,,,,,,,,,
"University of Michigan,Oriel College, Oxford,Columbia University","MD,PhD,MA,BS",Abdul El-Sayed,Abdulrahman Mohamed El-Sayed,1984-10-31,,Sarah Jukaku,,,,,,,,
"University of Dakar,Pantheon-Sorbonne University",,Abdou Diouf,,1935-09-07,,Elizabeth Diouf,,,,,,,,"2nd Secretary General of La Francophonie,2nd President of Senegal,1st President of Senegambia,2nd Prime Minister of Senegal"
,,Abd al-Aziz al-Hakim,,1952-01-01,26 August 2009,,,,,,,,,President of the Governing Council of Iraq
"Karachi University,Sindh University",,Abdul Hafeez Pirzada ,,1935-02-24,1 September 2015,,,,,,,Lawyer,,"12th Minister of Finance, Revenue & Economic Affairs,Minister of Law, Justice and Parliamentary Affairs,Minister for Information"
,,Abdul Halim,,1911-12-27,4 July 1987,,,,,,,,,"4th Prime Minister of Indonesia,6th Minister of Defence of the Republic of Indonesia"
,,Abdul Haris Nasution,Abdul Haris Nasution,1918-12-03,6 September 2000,Johanna Sunarti,,,2,,,,,"2nd Speaker of thePeople's Consultative Assembly,12th Minister of Defense and Security,Military service"
,,Abdul Jabbar Khalil Shanshal, ,1920,20 September 2014,,Hassan Abd al-Majid,,,,,,,"Minister of Defense,Chief of the General Staff of the Army and the Armed Forces,Member of the Regional Command of the Iraqi Regional Branch,Military service"
Baghdad University,,Abdul Karim Luaibi Bahedh,,1959 (age 62–63),,,,,Six,,,,,Minister of Oil
University of Dhaka,,Abdul Malek Ukil,আব্দুল মালেক উকিল,1924-10-01,17 October 1987,Sabura Khatun,,,,,,,,Leader of the Awami League
,,Abdul Latif Bhuiyan,,,17 June 2015 (aged 65),,,,,,,,,"Member of Parliamentfor Kishoreganj-7,Member of Parliamentfor Kishoreganj-5"
,,Abdul Rahim Bakri,Abdul Rahim bin Bakri,1961-04-11,,,,,,,,Politician,,"Ministerial roles,Faction represented in Dewan Rakyat"
,,Abdul Rahman Arif,,14 April 1916,24 August 2007 (aged 91),Faika Abdul-Mageed Faris Alanee,,,5,,,,,"3rd President of Iraq,Prime Minister of Iraq,Military service"
,,Abdul Rahman Khleifawi,,1930,15 March 2009,,,,,,,,,"Prime Minister of Syria,Member of the Regional Command of the Syrian Regional Branch,Minister of Interior,Military service"
,,Abdul Rahman Mohamad,Abdul Rahman bin Mohamad,1964-04-13,,,,,,,,Politician,,"Ministerial roles,Faction represented in Dewan Rakyat,Faction represented in Pahang State Legislative Assembly"
,,Abdul Salam Arif,,1921-03-21,13 April 1966,,,,,,,,,"2nd President of Iraq,Military service"
,,Abdul Razzaq as-Sawsa,,1933-02-03,"March 10, 2016",,,,,,,,,Secretary-General of the General People's Congress
"University of Basrah,University of Liverpool",,Abdul Razzaq al-Issa,Abdul Razzaq Abdul Jalel al-Issa,1949 (age 72–73),,,,,,,,,,"Minister of Higher Education and Scientific Research,Minister of FinanceActing"
"University of Travnik,University of Sarajevo",,Abdulah Skaka,,1983-12-05,,,,,,,,,,38th Mayor of Sarajevo
,,Abdulkadir Kure,,1956-02-26,8 January 2017,,,,,,,,,Governor of Niger State
