,name,full_name,born,died
142,Aarnoud van Heemstra,,1871-07-22 00:00:00,30 December 1957
143,Aad Nuis,Adrianus Nuis,1933-07-18 00:00:00,8 November 2007
144,Aaron Augustus Sargent,,1827-09-28 00:00:00,"August 14, 1887"
146,Aaron Clark,,"October 16, 1787","August 2, 1861"
148,Aaron Burr,Aaron Burr Jr.,1756-02-06 00:00:00,", "
149,Aaron E. Waite,,"December 26, 1813","December 12, 1898"
150,Aaron Burr Sr.,,1716-01-04 00:00:00,"September 24, 1757"
151,Aaron Hinman Grout,,1879-01-18 00:00:00,"December 29, 1966"
154,Aaron E. Waite,,"December 26, 1813","December 12, 1898"
155,Aaron Columbus Burr,Aaron Burr Colombe,1808-09-15 00:00:00,"July 27, 1882"
156,Aaron Harlan,,1802-09-08 00:00:00,"January 8, 1868"
157,Aaron Kitchell,,1744-07-10 00:00:00,"June 25, 1820"
158,Aaron Hobart,,1787-06-26 00:00:00,"September 19, 1858"
161,Aaron Leland,,"May 28, 1761","August 25, 1832"
165,Aaron Ogden,,1756-12-03 00:00:00,"April 19, 1839"
170,Aaron Swartz,Aaron Hillel Swartz,1986-11-08 00:00:00,"January 11, 2013"
171,Aaron Shenk Kreider,,1863-06-26 00:00:00,"May 19, 1929"
173,Aaron T. Bliss,,"May 22, 1837","September 16, 1906 (aged 69)"
174,Aaron Shaw,,1811-12-19 00:00:00,"January 7, 1887"
176,Aaron Van Schaick Cochrane,,"March 14, 1858","September 7, 1943"
177,Aaron Ward,,"July 5, 1790","March 2, 1867 (aged 76)"
179,Aase Lionæs,,1907-04-10 00:00:00,2 January 1999
180,Aaron Brown,Aaron Venable Brown,1795-08-15 00:00:00,"March 8, 1859"
181,Aaron Vail,,"October 26, 1796","November 4, 1878"
183,Aat van Rhijn,Arie Adriaan van Rhijn,1892-10-23 00:00:00,11 February 1986
184,Abba Kyari,,1952-09-23 00:00:00,17 April 2020
190,Abbot Low Moffat,,1901-05-12 00:00:00,"April 17, 1996"
191,Abbie G. Rogers,Abigail Palmer Gifford,1841-01-20 00:00:00,"May 21, 1894"
192,Abbott Lawrence,,1792-12-16 00:00:00,"August 18, 1855"
193,A. Lawrence Lowell,Abbott Lawrence Lowell,1856-12-13 00:00:00,"January 6, 1943"
195,Abby Aldrich Rockefeller,Abigail Greene Aldrich,1874-10-26 00:00:00,"April 5, 1948"
199,Abdelmalek Benhabyles,,1921-04-27 00:00:00,28 December 2018
200,Abdelkader Bensalah,,1941-11-24 00:00:00,22 September 2021
201,Abdelaziz Bouteflika,,1937-03-02 00:00:00,", Algeria"
213,Abdul Hafeez Pirzada ,,1935-02-24 00:00:00,1 September 2015
215,Abdul Malek Ukil,আব্দুল মালেক উকিল,1924-10-01 00:00:00,17 October 1987
218,Abdulkadir Kure,,1956-02-26 00:00:00,8 January 2017
221,Abdul Sattar,Abdul Sattar,1931, (aged 88)
230,Abdus Sattar,আব্দুস সাত্তার,1906-03-01 00:00:00,5 October 1985
231,Abdur Rahman Biswas,আবদুর রহমান বিশ্বাস,1926-09-01 00:00:00,3 November 2017
235,Abe Brault,Adelard Lionel Brault,1909-04-06 00:00:00,"February 13, 2007"
236,Orrice Abram Murdock Jr.,Orrice Abram Murdock Jr.,1893-07-18 00:00:00,"September 15, 1979"
237,Abe Fortas,Abraham Fortas,1910-06-19 00:00:00,"April 5, 1982"
238,Abel Upshur,Abel Parker Upshur,1790-06-17 00:00:00,"February 28, 1844"
239,Abel Underwood,,1799-04-08 00:00:00,"April 22, 1879"
241,Abiel Foster,,1735-08-08 00:00:00,"February 6, 1806"
242,Abiah Folger,,"August 15, 1667","May 18, 1752 (Aged 84)"
243,Abiel Abbot Low,,1811-02-07 00:00:00,"January 7, 1893"
244,Abigail Fillmore,Abigail Powers,1798-03-13 00:00:00,"March 30, 1853"
245,"Abigail ""Nabby"" Adams Smith",,1765-07-14 00:00:00,"August 15, 1813"
246,Abigail Adams,Abigail Smith,1744-11-11 00:00:00,"October 28, 1818"
247,Abigail Fillmore,Abigail Powers,1798-03-13 00:00:00,"March 30, 1853"
249,Abijah Gilbert,,1806-06-18 00:00:00,"November 23, 1881"
250,Abijah Bigelow,,1775-12-05 00:00:00,"April 5, 1860"
251,Abiram Chamberlain,,"December 7, 1837","May 15, 1911 (aged 73)"
252,Abner Coburn,,1803-03-22 00:00:00,"January 4, 1885"
253,Abner Lacock,,1770-07-09 00:00:00,"April 12, 1837"
254,Abner Mikva,Abner Joseph Mikva,1926-01-21 00:00:00,"July 4, 2016"
255,Abner Taylor,,1829-01-19 00:00:00,"April 13, 1903"
256,Abolhassan Banisadr,,1933-03-22 00:00:00,9 October 2021
257,Abraham B. Gardner,,1819-09-02 00:00:00,"November 23, 1881"
258,Abner Nash,,1740-08-08 00:00:00,"December 2, 1786"
259,Abraham Ribicoff,Abraham Alexander Ribicoff,1910-04-09 00:00:00,"February 22, 1998"
260,Abraham Asscher,,1880-09-19 00:00:00,2 May 1950
261,Abraham Baldwin,,"November 22, 1754","March 4, 1807"
262,Abraham Beame,Abraham David Birnbaum,1906-03-20 00:00:00,"February 10, 2001"
263,Abraham Bedford Venable,,1758-11-20 00:00:00,"December 26, 1811"
264,Abraham Bockee,,"February 3, 1784","June 1, 1865"
265,Abraham Benjamin Conger,Abraham Benjamin Conger,1887-07-14 00:00:00,"December 9, 1953"
266,Abraham Bruyn Hasbrouck,,"November 29, 1791","February 23, 1879"
267,Abraham G. Lansing,Abraham Gerritse Lansing,1756-12-12 00:00:00,"May 15, 1834"
268,Abraham Clark,,1726-02-15 00:00:00,"September 15, 1794"
269,Abraham C. Cuyler,,1742-04-11 00:00:00,5 February 1810
270,Abraham Gouverneur,,1671,"June 16, 1740"
271,Abraham Henry Schenck,,1775-01-22 00:00:00,"July 31, 1831"
272,Abraham Gottlob Werner,,25 September 1749,30 June 1817
273,Abraham J. Multer,,1900-12-24 00:00:00,"November 4, 1986"
274,Abraham Kurkindolle Allison,,"December 10, 1814","July 8, 1893"
275,Abraham Kuyper,Abraham Kuijper,1837-10-29 00:00:00,8 November 1920
276,Abraham Lansing,,1835-02-27 00:00:00,"October 4, 1899"
277,Abraham Lincoln Marovitz,Abraham Lincoln Marovitz,1905-08-10 00:00:00,"March 17, 2001"
278,Abraham Lincoln,,1744-05-13 00:00:00,"May 19, 1786 (aged 42)"
279,Abraham Luya,Abraham Fleetwood Luya,1837,6 July 1899 (Aged 61 or 62)
280,Abraham Lincoln Freedman,Abraham Lincoln Freedman,1904-11-19 00:00:00,"March 13, 1971"
281,Abraham Riker Lawrence,,1832-09-19 00:00:00,"February 14, 1917"
283,Abraham McClellan,,1789-10-04 00:00:00,"May 3, 1866"
284,Abraham O. Smoot,Abraham Owen Smoot,1815-02-17 00:00:00,"March 6, 1895"
285,Abraham Ribicoff,Abraham Alexander Ribicoff,1910-04-09 00:00:00,"February 22, 1998"
286,Abraham Nott,,1768-02-05 00:00:00,"June 19, 1830"
287,Abraham Schermerhorn,,"April 9, 1783","February 3, 1850"
288,Abraham Riker Lawrence,,1832-09-19 00:00:00,"February 14, 1917"
289,Abraham Van Buren II,,1807-11-27 00:00:00,"March 15, 1873"
290,Abraham Ten Broeck,,1734-05-13 00:00:00,19 January 1810
291,Abraham Shepherd,,1776-08-13 00:00:00,"January 16, 1847"
292,Abraham Van Vechten,,1762-12-05 00:00:00,"January 6, 1837"
293,Abraham Van Vorhes,,1793-12-02 00:00:00,"January 24, 1879"
294,Abraham Van Buren,,1737-02-17 00:00:00,"April 8, 1817"
295,Abraham Yates Jr.,,"August 23, 1724","June 30, 1796"
296,Abram Hewitt,Abram Stevens Hewitt,1822-07-31 00:00:00,"January 18, 1903"
297,Abraham de Peyster,,"July 8, 1657","August 3, 1728 (aged 71)"
298,Abram Garfield,,1872-11-21 00:00:00,"October 16, 1958"
299,Abram A. Hammond,,"March 21, 1814","August 27, 1874"
300,Abram I. Elkus,,1867-08-06 00:00:00,"October 15, 1947"
301,Abram Orpen Moriarty,,1830,22 May 1918
302,Abram McCormick Fridley,,"May 1, 1817","March 26, 1888"
303,Abram Poindexter Maury (Pronounced MUR-ree),,"December 26, 1801","July 22, 1848 (aged 46)"
304,Abram P. Williams,,1832-02-03 00:00:00,"October 17, 1911"
305,Abram Penn Staples,Abram Penn Staples,1885-09-18 00:00:00,"March 21, 1951"
306,Abram W. Foote,,1862-10-24 00:00:00,"May 14, 1941"
307,Abram Poindexter Maury (Pronounced MUR-ree),,"December 26, 1801","July 22, 1848 (aged 46)"
308,Absalom Koiner,,1824-08-05 00:00:00,"December 31, 1920"
309,Abram Hewitt,Abram Stevens Hewitt,1822-07-31 00:00:00,"January 18, 1903"
310,Abram Trigg,,1750,Unknown
311,Abram Penn Staples,Abram Penn Staples,1885-09-18 00:00:00,"March 21, 1951"
312,Abram Wakeman,,1824-05-31 00:00:00,"June 29, 1889"
313,Abu Sayeed Chowdhury,আবু সাঈদ চৌধুরী,1921-01-31 00:00:00,2 August 1987
314,Abu Sadat Mohammad Sayem,,1916-03-29 00:00:00,8 July 1997
317,Abul Hasnat Muhammad Qamaruzzaman,আবুল হাসনাত মোহাম্মদ কামারুজ্জামান,1926,3 November 1975
318,Abuzed Dorda ,,1944-04-04 00:00:00,28 February 2022
321,Achille Van Acker,,1898-04-08 00:00:00,10 July 1975
322,Achille Peretti,,1911-06-13 00:00:00,14 April 1983
324,Acton Smee Ayrton,,5 August 1816,30 November 1886
326,Adèle Cutts Douglas,,"December 27, 1835 ","January 26, 1899 "
330,Ada Watson,Ada Jane Low,1855-02-04 00:00:00,18 July 1921
332,Adam Badeau,,1831-12-29 00:00:00,"March 19, 1895"
334,Adam C. Cliffe,Adam C. Cliffe,1869-06-25 00:00:00,"June 12, 1928"
335,Sir Adam Butler,,11 October 1931,9 January 2008
339,Adam Clayton Powell,,1908-11-29 00:00:00,"April 4, 1972"
340,Adam Ferguson,,1723-07-01 00:00:00,22 February 1816
342,Adam Hamilton,,1880-08-20 00:00:00,29 April 1952
352,Adam Martin Wyant,,"September 15, 1869","January 5, 1935"
354,Adam McMullen,,1872-06-12 00:00:00,"March 2, 1959"
356,Adam Opel,,1837-05-09 00:00:00,8 September 1895
358,Adam Norrie,,1796-02-13 00:00:00,"June 6, 1882"
362,Adam Schantz,,1819-10-09 00:00:00,"November 5, 1879"
365,Adam Smith,, 16 June [,17 July 1790
366,Adam W. Snyder,,1799-10-06 00:00:00,"May 14, 1842"
367,Adam Walker,Adam Walker,1829,1902 (aged 72–73)
370,Adam von Trott zu Solz,,1909-08-09 00:00:00,26 August 1944
371,Adamantios Androutsopoulos,,20 August 1919,10 November 2000
374,sir Riley Robert Archibald,,1814-05-03 00:00:00,"December 14, 1892"
375,Addison E. Southard,,1884-10-18 00:00:00,"February 11, 1970"
377,Addison Gardiner,,1797-03-19 00:00:00,"June 5, 1883"
378,Addison C. Harris,Addison Clay Harris,1840-10-01 00:00:00,"September 2, 1916"
379,Addison Mizner,,1872-12-12 00:00:00,"February 5, 1933"
380,Addison Gardner Foster,,1837-01-28 00:00:00,"January 16, 1917"
381,Addison Cook Niles,,1832-07-22 00:00:00,"January 17, 1890"
382,Jack Randall,Addison Byron Owen Randall,1906-05-12 00:00:00,"July 16, 1945"
384,Addison T. Smith,Addison Taylor Smith,"September 5, 1862","July 5, 1956"
385,Addison S. McClure,,"October 10, 1839","April 17, 1903"
387,Adekunle Shamusideen Lawal,,1934-02-08 00:00:00,27 November 1980
388,Adekunle Fajuyi,,26 June 1926,29 July 1966
389,Adelbert Ames,,1835-10-31 00:00:00,"April 13, 1933"
390,The Earl Brownlow,,19 August 1844,17 March 1921
391,Adele Astaire,Adele Marie Austerlitz,1896-09-10 00:00:00,"January 25, 1981"
393,Adelheid von Rothschild,,1853-08-19 00:00:00,22 June 1935
394,Adelicia Acklen,Adelicia Hayes,"March 15, 1817","May 4, 1887"
396,Adella Brown Bailey,Adella Brown,1860-02-08 00:00:00,1937 (aged 76–77)
397,Adelino da Palma Carlos,,1905-05-03 00:00:00,25 October 1992
398,Adelino Amaro da Costa,,1943-04-18 00:00:00,4 December 1980
400, Adeyemo Alakija,Placido Assumpcao,1884-05-25 00:00:00,10 May 1952
401,Adiel F. Stewart,,1897-01-18 00:00:00,"March 6, 1960"
402,Adetunji Idowu Ishola Olurin,,1944-12-03 00:00:00,20 August 2021
403,Adin B. Capron,,1841-01-09 00:00:00,"March 17, 1911"
406,Adlai Stevenson,Adlai Ewing Stevenson,1835-10-23 00:00:00,"June 14, 1914"
408,Adolf A. Berle,"Adolf Augustus Berle, Jr.",1895-01-29 00:00:00,"February 17, 1971"
411,Adolf A. Berle,"Adolf Augustus Berle, Jr.",1895-01-29 00:00:00,"February 17, 1971"
412,Adlai Stevenson III,Adlai Ewing Stevenson III,1930-10-10 00:00:00,"September 6, 2021"
413,Adolf Bastian,,1826-06-26 00:00:00,2 February 1905
414,Adolf Hitler,,1889-04-20 00:00:00,30 April 1945
415,Adolf Wild von Hohenborn,,8 July 1860,25 October 1925
416,Adolf Wagner,,1890-10-01 00:00:00,12 April 1944
417,Adolf Schärf,,1890-04-20 00:00:00,28 February 1965
420,Adolf von Brauchitsch,,1876-11-07 00:00:00,21 January 1935
422,Adolph A. Hoehling Jr.,Adolph August Hoehling Jr.,1868-11-03 00:00:00,"February 17, 1941"
424,Adolph Dubs,,1920-08-04 00:00:00,"February 14, 1979"
425,Adolph Borie,Adolph Edward Borie,1809-11-25 00:00:00,"February 5, 1880"
426,Adolph J. Sabath,Adolph Joachim Sabath,1866-04-04 00:00:00,"November 6, 1952"
427,Adolph Ochs,Adolph Simon Ochs,1858-03-12 00:00:00,"April 8, 1935"
428,Adolph Sutro,Adolph Heinrich Joseph Sutro,1830-04-29 00:00:00,"August 8, 1898"
429,Adolph Olson Eberhart,,1870-06-30 00:00:00,"December 6, 1944"
430,Sir Adolphe-Philippe Caron,Joseph-Philippe-René-Adolphe Caron,1843-12-24 00:00:00,20 April 1908
431,Adolphe Guillet dit Tourangeau,,1831-01-15 00:00:00,"October 8, 1894"
432,Adolphe de Chambrun,,"August 10, 1831",1891
433,Adolphus Barton,Adolphus Henry Everand Barton,1846,20 May 1916 (aged 69-70)
434,Adolphus Frederic St. Sure,Adolphus Frederic St. Sure,1869-03-09 00:00:00,"February 5, 1949"
435,Adolphus P. Nelson,,1872-03-28 00:00:00,"August 21, 1927"
436,Adonijah Strong Welch,,1821-04-12 00:00:00,"March 14, 1889"
438,Adoniram Judson Holmes,,"March 2, 1842","January 21, 1902"
439,Adoniram Judson Warner,,1834-01-13 00:00:00,"August 12, 1910"
440,Adone Zoli,,1887-12-16 00:00:00,20 February 1960
441,Adolphus W. Burtt,,1832-05-28 00:00:00,"January 7, 1917"
442,Adri van Es,Adrianus van Es,1913-04-28 00:00:00,6 January 1994
443,Adriaan Quirinus Hendrik Dijxhoorn,,10 September 1889,22 January 1953
445,Sir Adrian Baillie,Adrian William Maxwell Baillie,1898-05-05 00:00:00,8 January 1947
446,Adrian Anthony Spears,Adrian Anthony Spears,1910-07-08 00:00:00,"May 9, 1991"
450,Adrian Joseph Caillouet,Adrian Joseph Caillouet,1883-02-19 00:00:00,"December 19, 1946"
451,Sir Adrian Knox,,29 November 1863,27 April 1932 (aged 69)
452,Adrian Bennett,,1933-01-21 00:00:00,9 May 2006
453,Adrian Gibson,,1935-11-03 00:00:00,30 April 2015
457,Adriano Mastrangelo,,1919-02-08 00:00:00,"April 9, 1999"
459,Adrien Meunier,,24 December 1905,31 October 1971
464,Adrien Marquet,,1884-10-06 00:00:00,3 February 1955
466,Adrienne Morrison,Mabel Adrienne Morrison,1883-03-01 00:00:00,"November 20, 1940"
471,Aduke Alakija,Jaiyeola Aduke Alakija,March 1921,March 2016 (aged 95)
473,Adrienne de Noailles,,1759-11-02 00:00:00,24 December 1807
474,Adye Douglas,,1815-05-31 00:00:00,10 April 1906
476,Aedanus Burke,,"June 16, 1743","March 30, 1802"
481,Aenne Brauksiepe,,1912-02-23 00:00:00,1 January 1997
482,Afsaruddin Ahmad Khan,আফসার উদ্দিন আহমেদ খাঁন,1940, (aged 81)
487,Agatha Barbara,,1923-03-11 00:00:00,4 February 2002
489,Agar Wynne,,1850-07-15 00:00:00,12 May 1934
491,The Countess Fife,,12 May 1829,18 December 1869
493,The Countess Fife,,12 May 1829,18 December 1869
494,Agnes Mary Claypole Moody,Agnes Mary Claypole,1870-01-01 00:00:00,"August 29, 1954"
495,Agnes Baggett,,"April 9, 1905 ","December 15, 1992 (aged 87)"
496,The Baroness Macdonald of Earnscliffe,Susan Agnes Bernard,1836-08-24 00:00:00,5 September 1920
497,Agnes E. Meyer,Agnes Elizabeth Ernst,"January 2, 1887","September 1, 1970"
498,Agnes Taubert,Agnes Marie Constanze Taubert,1844-01-07 00:00:00,8 May 1877
499,Henry Lawrence Burnett,,1838-12-26 00:00:00,"January 4, 1916"
500,Agnes Ward White,,1857,1943
502,Agnes Weston,Agnes Louisa Steuart,1879-01-18 00:00:00,8 August 1972
504,The Viscount Halifax,Charles Lindley Wood,1839-06-07 00:00:00,19 January 1934
505,Agostino Gambino,,6 July 1933,2 October 2021
506,Ahiman Louis Miner,,1804-09-23 00:00:00,"July 19, 1886"
511,Ahiman Louis Miner,,1804-09-23 00:00:00,"July 19, 1886"
513,Ahmad Mukhtar,,1946-06-22 00:00:00,25 November 2020
515,Ahmed Gaid Salah,,1940-01-13 00:00:00,23 December 2019
525,Aida de Acosta,Aida de Acosta,"July 28, 1884","May 26, 1962"
526,Aida McAnn Flemming,Ada Maud Boyer McAnn,1896-03-07 00:00:00,"January 25, 1994"
528,Aidan Crawley,Aidan Merivale Crawley,1908-04-10 00:00:00,3 November 1993
529,Aileen Carroll,Margaret Aileen O'Leary,1944-06-01 00:00:00,"April 19, 2020"
532,Aime Forand,,1895-05-23 00:00:00,"January 18, 1972"
534,Aileen Palmer,Aileen Yvonne Palmer,1915-04-06 00:00:00,21 December 1988
536,Airey Neave,Airey Middleton Sheffield Neave,1916-01-23 00:00:00,30 March 1979
537,The Lord Ailwyn,,1855-11-10 00:00:00,23 September 1924
538,Ailsa Mellon Bruce,Ailsa Mellon,1901-06-28 00:00:00,25 August 1969
545,,,1944,2010 (aged 65–66)
547,Akbar Hashemi Rafsanjani,اکبر هاشمی رفسنجانی,1934-08-25 00:00:00,", "
549,Akhtar Hamid Siddiqui,আখতার হামিদ সিদ্দিকী,1947,19 November 2017
552,Akis Tsochatzopoulos,Apostolos-Athanasios Tsochatzopoulos,1939-07-31 00:00:00,27 August 2021
555,Alí Rodríguez Araque,,1937-09-09 00:00:00,19 November 2018
556,Akwasi Amankwaa Afrifa,,1936-04-24 00:00:00,26 June 1979
557,Al Adinolfi,,1934-08-24 00:00:00,"December 18, 2019"
558,Al Henry,,1911-04-12 00:00:00,"June 26, 1989"
559,Alfred E. Alquist,,1908-08-02 00:00:00,"March 27, 2006"
563,,,1921-10-25 00:00:00,"May 27, 2003"
568,Al McCandless,,"July 23, 1927","August 9, 2017"
569,Al Molinaro,Umberto Francesco Molinaro,1919-06-24 00:00:00,"October 30, 2015"
570,,,1928-09-07 00:00:00,"January 26, 2001"
572,Al Seckel,Alfred Paul Seckel,1958-09-03 00:00:00,2015
575,Al Shean,Abraham Elieser Adolph Schönberg,1868-05-12 00:00:00,"August 12, 1949"
578,Al Swift,Allan Byron Swift,1935-09-12 00:00:00,"April 20, 2018"
580,Al Ullman,Albert Conrad Ullman,1914-03-09 00:00:00,"October 11, 1986"
584,Alain LeRoy Locke,,1885-09-13 00:00:00,"June 9, 1954"
587,Alain Poher,Alain Émile Louis Marie Poher,1909-04-17 00:00:00,9 December 1996
589,Alain Savary,,1918-04-25 00:00:00,17 February 1988
593,Alain Peyrefitte,,1925-08-26 00:00:00,27 November 1999
594,Alain de Rothschild,,7 January 1910,17 October 1982
598,Alan Diamonstein,Alan Arnold Diamonstein,1931-08-20 00:00:00,"October 17, 2019"
600,Alan Augustine,,1928-08-17 00:00:00,"June 11, 2001"
601,Alan Bates,Alan Curtis Bates,1945-03-17 00:00:00,"August 5, 2016"
602,Alan Bates,Alan Curtis Bates,1945-03-17 00:00:00,"August 5, 2016"
606,Alan Bible,Alan Harvey Bible,1909-11-20 00:00:00,"September 12, 1988"
609,Alan Bluechel,,1924-08-28 00:00:00,"August 20, 2013"
611,The Viscount Alanbrooke,Alan Francis Brooke,1883-07-23 00:00:00,17 June 1963
613,Alan Burns,Alan Cuthbert Maxwell Burns,1887-11-09 00:00:00,29 September 1980
615,Alan Chambers,,1904-01-14 00:00:00,1981 (aged 76–77)
619,Alan Cranston,Alan MacGregor Cranston,1914-06-19 00:00:00,", U.S."
621,Alan Clark,Alan Kenneth Mackenzie Clark,13 April 1928,5 September 1999
622,Alan Chorlton,,24 February 1874,6 October 1946
627,Alan Diamonstein,Alan Arnold Diamonstein,1931-08-20 00:00:00,"October 17, 2019"
632,The Lord Gardner,,12 February 1742,1 January 1809
633,Alan Goodrich Kirk,,1888-10-30 00:00:00,"October 15, 1963"
637,The Lord Gardner,,1770-02-05 00:00:00,22 December 1815
638,Alan Green Jr.,,1925-05-01 00:00:00,"March 23, 2001"
640,Alan Goodrich Kirk,,1888-10-30 00:00:00,"October 15, 1963"
642,Alan Horace Kempner,,"July 4, 1897","December 17, 1985 (age 88)"
